_id,X,Y,OBJECTID,NAME,ALT_NAME,UPDATE_DATE
59,11815884.0,6920307.49987499,178,CHESHIRE STATION,,2019/10/21 20:12:11+00
60,11727430.0,6980610.99987499,179,THE SHOPPES AT HAYMARKET,,2019/10/21 20:12:11+00
61,11816718.298125,6902367.47237499,180,FORTUNA CENTER PLAZA,FORTUNA VILLAGE CENTER,2020/08/04 22:46:08+00
62,11727845.24875,6991732.44768749,181,MARKET SQUARE AT DOMINION VALLEY,DOMINION VALLEY MARKET SQUARE,2020/08/04 23:10:32+00
63,11810817.685625,6931925.74206249,182,PRINCE WILLIAM COUNTY CENTER,,2020/08/04 23:31:42+00
64,11747892.4846875,6957528.9576875,183,BRAEMAR VILLAGE CENTER,,2019/09/24 21:04:30+00
65,11830125.255625,6922970.73456249,184,PARKWAY CROSSING EAST,,2019/09/24 21:04:30+00
66,11721023.9484375,6969837.23268749,186,MARKETPLACE AT MADISON CRESCENT,,2020/08/04 02:07:52+00
67,11823603.8415625,6896839.08956249,187,WALMART,WALMART AT RICHMOND HWY,2023/10/12 21:35:02+00
68,11731062.96625,6973203.947375,188,SOMERSET CROSSING,,2019/09/24 21:04:30+00
69,11738247.3790625,6976991.39018749,189,HERITAGE VILLAGE PLAZA,HERITAGE HUNT BUSINESS PARK,2019/09/24 21:04:30+00
70,11758567.2509375,6953636.86112499,190,CENTER AT INNOVATION,SOWDER VILLAGE SQUARE,2020/08/09 19:48:07+00
71,11782792.2846875,6958900.50925,191,WALMART,WALMART AT LIBERIA,2019/09/24 21:04:30+00
72,11783263.62,6975709.0345625,192,YORKSHIRE CENTER,YORKSHIRE SHOPPING CTR,2019/09/24 21:04:30+00
73,11731997.1778125,6978708.6126875,193,PIEDMONT CENTER PLAZA,,2020/08/03 23:02:17+00
74,11805086.5725,6908315.44643749,194,ASHLAND SQUARE,,2020/08/05 02:25:18+00
75,11782655.793125,6956612.6914375,196,THE SHOPS AT EVERGREEN TERRACE,EVERGREEN TERRACE,2020/08/09 20:47:49+00
76,11726825.5084375,6981834.76924999,197,HAYMARKET VILLAGE CENTER,MARKET CENTER AT HAYMARKET,2023/10/12 21:35:02+00
77,11826844.809375,6917985.87081249,198,POTOMAC MILLS HOME & AUTO CENTER,METRO PLAZA,2020/08/04 01:42:37+00
78,11731638.5178125,6973053.0195625,199,GAINESVILLE SQUARE,,2020/08/05 02:43:38+00
79,11764367.8528125,6972125.21987499,200,SUDLEY TOWNE PLAZA,,2019/10/21 20:12:11+00
80,11834464.4484375,6916720.85206249,201,FEATHERSTONE SQUARE,,2019/10/21 20:12:11+00
81,11815593.6884375,6919470.18175,202,FORESTDALE SHOPPING CENTER,FORESTDALE PLAZA,2020/08/04 22:53:40+00
82,11838724.3665625,6927480.01081249,203,WOODBRIDGE SQUARE,,2019/10/21 20:12:11+00
83,11812550.4778125,6912921.4083125,204,CARDINAL SQUARE,,2020/08/09 21:14:48+00
84,11825980.4825,6926270.22237499,205,MINNIEVILLE SHOPPING CENTER,,2020/08/04 02:42:44+00
85,11825095.6296875,6925366.2245625,206,MADISON FARM SHOPPING CENTER,SHOPS AT MADISON FARM,2020/08/03 22:28:41+00
86,11761836.0321875,6976018.60768749,207,SUDLEY CORNER CENTER,,2020/08/03 22:02:04+00
87,11823376.536875,6896076.90549999,209,SOUTHBRIDGE PLAZA,,2019/09/24 21:04:30+00
88,11760166.5465625,6976978.9389375,210,PARKRIDGE CENTER,,2019/10/21 20:12:11+00
89,11821013.9025,6934715.37674999,211,OLD BRIDGE COMMONS,,2019/09/24 21:04:30+00
90,11746143.2796875,6960641.37612499,213,BRISTOW COMMONS,,2019/09/24 21:04:30+00
