_id,X,Y,OBJECTID,SOURCE,NAME_CODE,ALT_NAME,ZIPCODE,LINK,TYPE,CITY,ADDRESS,UPDATE_DATE,DISTRICT
33,11765946.9997036,6971238.9996033,151,113,94,CHARLES A SINCLAIR ES,20109,https://sinclaires.pwcs.edu/,1,MANASSAS,7801 GARNER DR,2020/01/07 14:58:49+00,Prince William
34,11767535.0001365,6970320.9994708,152,113,66,STONEWALL JACKSON MS,20109,https://unitybraxtonms.pwcs.edu/,3,MANASSAS,10100 LOMOND DR,2021/07/02 17:28:03+00,Prince William
35,11771571.9996084,6973390.49989347,153,111,98,,20109,https://sudleyes.pwcs.edu/,1,MANASSAS,9744 COPELAND DR,2020/01/07 14:58:49+00,Prince William
36,11768681.0007972,6969034.00007629,154,111,107,,20109,https://westgatees.pwcs.edu/,1,MANASSAS,8031 URBANNA RD,2020/01/07 14:58:49+00,Prince William
37,11821916.9999681,6938678.99943471,155,111,47,,22192,https://lakeridgees.pwcs.edu/,1,WOODBRIDGE,11970 HEDGES RUN DR,2020/01/07 14:58:49+00,Prince William
38,11823982.0007593,6935202.00015514,156,111,48,,22192,https://lakeridgems.pwcs.edu/,3,WOODBRIDGE,12350 MOHICAN RD,2020/01/07 14:58:49+00,Prince William
39,11788708.9994551,6924736.49943264,157,113,18,,20112,https://coleses.pwcs.edu/,1,MANASSAS,7405 HOADLY RD,2020/01/07 14:58:48+00,Prince William
40,11824873.9996315,6933538.5002013,158,113,111,,22192,https://woodbridgehs.pwcs.edu/,4,WOODBRIDGE,3001 OLD BRIDGE RD,2020/01/07 14:58:49+00,Prince William
41,11806023.0005881,6930448.49981964,159,113,79,SONNIE P PENN ES,22193,https://pennes.pwcs.edu/,1,WOODBRIDGE,12980 QUEEN CHAPEL RD,2020/01/07 14:58:49+00,Prince William
42,11831639.999879,6922778.49941163,160,111,103,ELIZABETH VAUGHAN ES,22191,https://vaughanes.pwcs.edu/,1,WOODBRIDGE,2200 YORK DR,2020/01/07 14:58:49+00,Prince William
43,11801345.8731314,6925109.49803047,161,113,90,,22193,https://rosaparkses.pwcs.edu/,1,WOODBRIDGE,13446 PRINCEDALE DR,2020/06/29 17:09:29+00,Prince William
44,11780292.9995548,6965015.49991122,162,111,76,,20110,https://parksidems.pwcs.edu/,3,MANASSAS,8602 MATHIS AVE,2020/01/07 14:58:49+00,Prince William
45,11731523.9999802,6989101.50029555,163,113,63,,20169,https://mountainviewes.pwcs.edu/,1,HAYMARKET,5600 MCLEOD WAY,2020/01/07 14:58:49+00,Prince William
46,11786007.0002659,6957091.0003403,164,111,93,,20111,https://signalhilles.pwcs.edu/,1,MANASSAS,9553 BIRMINGHAM DR,2020/01/07 14:58:49+00,Prince William
47,11765719.9801445,6963832.18502063,165,113,22,,20109,https://ellises.pwcs.edu/,1,MANASSAS,10400 KIM GRAHAM LN,2020/01/07 14:58:48+00,Prince William
48,11786265.4990927,6914730.67003489,166,114,41,,20112,https://independence.pwcs.edu/,7,MANASSAS,14550 ADEN RD,2020/07/06 16:59:34+00,Prince William
49,11759001.0008003,6970159.50012188,167,113,64,,20109,https://mullenes.pwcs.edu/,1,MANASSAS,8000 RODES DR,2020/01/07 14:58:49+00,Prince William
50,11832332.7245434,6910247.65898781,168,55,82,MARY G PORTER SPECIALTY,22191,https://porter.pwcs.edu/,5,WOODBRIDGE,15311 FOREST GROVE DR,2020/06/29 16:07:16+00,Prince William
51,11788332.0005371,6924086.49974838,169,113,10,LOUISE A BENTON MS,20112,https://bentonms.pwcs.edu/,3,MANASSAS,7411 HOADLY ROAD,2020/01/07 14:58:49+00,Prince William
