censustract,total_2024,male_under_5_2024,female_under_5_2024,total_2023,male_under_5_2023,female_under_5_2023,total_2022,male_under_5_2022,female_under_5_2022,total_2021,male_under_5_2021,female_under_5_2021,total_2020,male_under_5_2020,female_under_5_2020,Under5_Proportion_2024,Under5_Proportion_2023,Under5_Proportion_2022,Under5_Proportion_2021,Under5_Proportion_2020
9012.29,4500,93,218,4706,123,234,4766,117,232,4894,112,242,4848,160,231,6.91,7.59,7.32,7.23,8.07
9012.30,4159,218,120,4025,147,74,4116,163,74,4032,239,50,4009,200,39,8.13,5.49,5.76,7.17,5.96
9012.31,7405,258,411,6580,145,178,6456,138,201,6048,105,144,6057,92,165,9.03,4.91,5.25,4.12,4.24
9012.32,6564,128,279,6293,134,258,6141,191,182,5969,136,194,5555,121,186,6.2,6.23,6.07,5.53,5.53
9012.33,7514,177,202,7242,155,94,6851,53,167,6851,68,147,6555,62,147,5.04,3.44,3.21,3.14,3.19
9012.34,3576,41,140,3193,54,115,2986,47,75,3046,59,59,2948,44,57,5.06,5.29,4.09,3.87,3.43
9012.35,2932,50,50,2875,45,69,3004,66,51,3033,86,178,2983,72,114,3.41,3.97,3.89,8.7,6.24
9012.36,6711,215,125,6762,264,102,6419,284,110,6453,353,154,6054,321,161,5.07,5.41,6.14,7.86,7.96
9012.37,3138,161,64,3079,164,73,2982,103,100,3165,149,97,2933,161,113,7.17,7.7,6.81,7.77,9.34
9013.03,5264,162,206,5242,191,296,5165,204,253,4933,165,230,4682,121,183,6.99,9.29,8.85,8.01,6.49
9013.04,3172,210,100,3181,196,79,3235,177,52,3121,148,86,2987,165,87,9.77,8.65,7.08,7.5,8.44
9013.05,4670,69,58,3944,49,0,4070,45,0,3680,12,30,3581,19,51,2.72,1.24,1.11,1.14,1.95
9013.06,5417,153,74,5068,105,89,5259,130,111,5266,141,109,4903,114,130,4.19,3.83,4.58,4.75,4.98
9014.03,7455,329,249,7489,311,221,7258,331,199,7684,275,173,6933,245,190,7.75,7.1,7.3,5.83,6.27
9014.07,4160,129,158,4207,131,193,4385,141,224,4220,179,85,4276,256,122,6.9,7.7,8.32,6.26,8.84
9014.09,9064,272,135,9185,232,220,9046,238,218,8770,180,224,8290,295,228,4.49,4.92,5.04,4.61,6.31
9014.11,6049,203,259,5901,123,98,6030,162,115,6137,161,175,5948,204,186,7.64,3.75,4.59,5.47,6.56
9014.12,6825,209,195,7645,265,245,7753,352,403,7671,290,354,7444,257,316,5.92,6.67,9.74,8.4,7.7
9014.13,4625,83,110,4321,99,137,4425,84,102,4254,79,97,4218,86,71,4.17,5.46,4.2,4.14,3.72
9014.14,5400,67,60,5453,92,45,5466,68,43,5242,39,82,5183,60,95,2.35,2.51,2.03,2.31,2.99
9014.15,4689,206,240,4498,205,168,4403,178,175,4526,171,172,4433,157,140,9.51,8.29,8.02,7.58,6.7
9014.16,5248,135,260,5129,117,252,5143,124,273,4982,131,271,5086,163,345,7.53,7.19,7.72,8.07,9.99
9014.17,3134,114,81,3054,101,85,2914,47,85,2666,15,124,2535,46,75,6.22,6.09,4.53,5.21,4.77
9014.18,5331,253,398,4338,213,219,4256,216,220,3885,222,244,4060,262,191,12.21,9.96,10.24,11.99,11.16
9014.19,3985,163,204,3801,153,269,3837,123,345,4076,145,419,4257,253,416,9.21,11.1,12.2,13.84,15.72
9014.20,3923,120,137,4184,149,172,4328,137,118,4273,246,91,4495,189,95,6.55,7.67,5.89,7.89,6.32
9014.21,5497,281,132,5336,347,240,5416,403,231,5248,442,239,4733,304,179,7.51,11.0,11.71,12.98,10.2
9015.03,5695,206,110,5509,205,47,5327,175,78,5351,198,138,5320,172,146,5.55,4.57,4.75,6.28,5.98
9015.04,4892,109,16,4897,75,16,4756,69,16,4464,66,16,4433,59,41,2.56,1.86,1.79,1.84,2.26
9015.05,7574,139,44,7208,123,70,7237,110,89,7555,158,242,7301,256,280,2.42,2.68,2.75,5.29,7.34
9015.06,6590,108,294,6803,193,232,7010,175,330,7071,316,347,7081,298,447,6.1,6.25,7.2,9.38,10.52
9015.07,2978,158,113,2954,157,110,2874,141,149,2815,145,154,2827,128,140,9.1,9.04,10.09,10.62,9.48
9015.08,6261,285,212,6035,308,228,5770,322,215,5898,340,223,5847,299,192,7.94,8.88,9.31,9.55,8.4
9015.09,8086,354,207,7915,279,165,7727,220,104,7478,247,111,6899,193,157,6.94,5.61,4.19,4.79,5.07
9015.10,6049,161,120,6380,88,152,6476,131,224,6383,157,263,5997,127,231,4.65,3.76,5.48,6.58,5.97
9015.11,4469,62,95,4515,53,67,4381,30,40,4221,88,56,3978,70,53,3.51,2.66,1.6,3.41,3.09
9016.01,4367,131,192,3651,108,108,4688,201,257,4146,176,154,3973,144,130,7.4,5.92,9.77,7.96,6.9
9016.02,7650,306,88,7912,273,199,8377,315,298,7986,238,366,8098,204,407,5.15,5.97,7.32,7.56,7.55
9017.02,4831,141,139,4815,128,136,4641,116,138,4455,155,114,4356,151,82,5.8,5.48,5.47,6.04,5.35
9017.03,2750,31,73,2574,28,68,2418,39,54,2770,0,126,2518,0,97,3.78,3.73,3.85,4.55,3.85
9017.04,7269,365,368,7116,414,292,6582,505,217,7151,450,273,6971,451,356,10.08,9.92,10.97,10.11,11.58
9019,7256,506,98,8141,433,529,7729,300,435,7155,279,454,6702,305,374,8.32,11.82,9.51,10.24,10.13
9801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
