censustract,child_dependency_ratio_2024,child_dependency_ratio_2023,child_dependency_ratio_2022,child_dependency_ratio_2021,child_dependency_ratio_2020,old_age_dependency_ratio_2024,old_age_dependency_ratio_2023,old_age_dependency_ratio_2022,old_age_dependency_ratio_2021,old_age_dependency_ratio_2020,age_dependency_ratio_2024,age_dependency_ratio_2023,age_dependency_ratio_2022,age_dependency_ratio_2021,age_dependency_ratio_2020
9012.22,34.7,29.53,27.84,28.6,28.86,19.66,17.44,19.16,17.81,20.91,54.36,46.97,47.0,46.41,49.769999999999996
9012.23,25.01,26.17,26.32,33.56,36.67,20.42,26.48,18.74,20.14,18.78,45.43000000000001,52.650000000000006,45.06,53.7,55.45
9012.24,34.08,32.38,30.49,30.36,38.23,26.49,27.03,26.77,24.63,26.57,60.56999999999999,59.410000000000004,57.26,54.989999999999995,64.8
9012.25,47.66,45.33,37.09,39.62,37.64,21.16,19.06,20.71,20.48,15.33,68.82,64.39,57.800000000000004,60.099999999999994,52.97
9012.26,35.38,36.65,36.25,34.37,33.15,15.23,15.17,16.62,17.65,15.57,50.61,51.82,52.870000000000005,52.019999999999996,48.72
9012.27,34.96,34.19,37.01,39.66,39.35,20.16,12.56,12.39,12.03,13.2,55.120000000000005,46.75,49.4,51.69,52.55
9012.28,36.42,34.92,34.09,29.49,25.33,20.08,16.2,15.21,13.82,13.82,56.5,51.120000000000005,49.300000000000004,43.31,39.15
9012.29,32.77,35.11,36.31,35.09,35.46,13.38,11.77,13.38,12.45,15.33,46.150000000000006,46.879999999999995,49.690000000000005,47.540000000000006,50.79
9012.30,32.11,28.62,30.61,34.54,29.53,18.96,15.75,12.71,14.57,15.56,51.07,44.370000000000005,43.32,49.11,45.09
9012.31,40.68,29.39,29.7,29.74,28.03,21.36,25.44,26.2,24.24,24.11,62.04,54.83,55.9,53.98,52.14
9012.32,25.47,24.68,22.11,18.47,18.82,15.39,14.36,15.03,12.92,13.69,40.86,39.04,37.14,31.39,32.51
9012.33,35.98,28.4,25.45,23.6,23.42,16.86,15.01,16.42,13.89,14.61,52.839999999999996,43.41,41.870000000000005,37.49,38.03
9012.34,27.14,23.41,23.37,24.07,23.32,18.58,19.52,22.01,21.12,19.92,45.72,42.93,45.38,45.19,43.24
9012.35,35.94,35.84,31.94,35.63,31.1,18.79,16.6,14.1,15.94,14.77,54.73,52.440000000000005,46.04,51.57,45.870000000000005
9012.36,35.29,36.21,41.84,44.75,40.82,15.08,14.19,14.3,13.06,11.36,50.37,50.4,56.14,57.81,52.18
9012.37,27.86,26.57,25.43,28.16,31.72,7.28,3.68,6.23,5.27,5.08,35.14,30.25,31.66,33.43,36.8
9013.03,38.68,38.4,34.66,34.91,34.09,11.37,8.85,8.33,8.12,8.92,50.05,47.25,42.989999999999995,43.029999999999994,43.010000000000005
9013.04,32.62,30.71,27.25,27.69,25.8,21.36,20.76,20.67,18.77,16.1,53.98,51.47,47.92,46.46,41.900000000000006
9013.05,29.96,19.03,16.39,14.52,13.76,18.9,17.16,14.94,13.61,12.91,48.86,36.19,31.33,28.13,26.67
9013.06,23.75,21.28,24.12,27.67,28.45,32.4,30.82,31.15,29.34,30.07,56.15,52.1,55.269999999999996,57.010000000000005,58.519999999999996
9014.03,20.53,20.74,23.2,23.57,27.7,10.49,14.2,14.58,12.8,11.97,31.020000000000003,34.94,37.78,36.370000000000005,39.67
9014.07,25.01,24.38,25.58,24.65,27.76,9.58,8.13,5.63,7.02,6.5,34.59,32.51,31.209999999999997,31.669999999999998,34.260000000000005
9014.09,27.33,33.02,30.5,30.87,32.69,7.31,8.83,8.09,10.13,8.37,34.64,41.85,38.59,41.0,41.059999999999995
9014.11,33.78,31.31,35.5,32.48,35.44,24.49,23.29,22.23,20.75,19.21,58.269999999999996,54.599999999999994,57.730000000000004,53.23,54.65
9014.12,32.96,34.94,41.04,41.43,41.78,6.86,6.47,5.85,4.43,3.75,39.82,41.41,46.89,45.86,45.53
9014.13,29.84,33.36,38.25,40.63,37.0,5.72,7.12,7.79,7.23,6.04,35.56,40.48,46.04,47.86,43.04
9014.14,34.66,35.66,33.67,35.67,40.59,33.2,27.6,27.05,28.2,28.4,67.86,63.26,60.72,63.870000000000005,68.99000000000001
9014.15,42.69,36.63,38.4,37.59,39.11,12.37,11.14,11.21,9.7,9.7,55.059999999999995,47.77,49.61,47.290000000000006,48.81
9014.16,44.91,45.56,49.38,44.13,51.71,6.85,5.88,5.39,5.34,3.63,51.76,51.440000000000005,54.77,49.47,55.34
9014.17,29.12,30.2,24.73,22.15,26.37,18.3,20.25,20.83,21.18,19.91,47.42,50.45,45.56,43.33,46.28
9014.18,31.2,30.71,30.28,35.51,29.2,7.16,14.42,11.17,13.8,6.91,38.36,45.13,41.45,49.31,36.11
9014.19,42.15,56.49,57.13,58.75,57.58,9.31,8.42,8.19,5.94,12.77,51.46,64.91,65.32000000000001,64.69,70.35
9014.20,31.63,35.92,32.09,35.44,32.56,9.38,9.15,6.94,5.3,4.23,41.01,45.07,39.03,40.739999999999995,36.790000000000006
9014.21,41.58,49.41,43.98,48.23,46.62,11.11,11.07,8.03,8.8,8.77,52.69,60.48,52.01,57.03,55.39
9015.03,31.51,27.78,24.47,27.44,27.99,29.73,28.37,28.87,28.29,30.25,61.24,56.150000000000006,53.34,55.730000000000004,58.239999999999995
9015.04,18.18,17.35,19.99,25.6,26.01,223.92,192.78,213.53,245.47,240.05,242.1,210.13,233.52,271.07,266.06
9015.05,25.03,23.22,21.24,25.89,30.39,18.17,18.12,15.26,11.35,12.29,43.2,41.34,36.5,37.24,42.68
9015.06,27.11,33.13,32.63,36.65,37.17,8.74,7.74,7.96,6.92,5.19,35.85,40.870000000000005,40.59,43.57,42.36
9015.07,32.59,33.3,33.72,39.26,38.0,11.41,10.31,10.49,10.71,9.16,44.0,43.61,44.21,49.97,47.16
9015.08,34.91,35.22,33.37,34.84,33.06,9.95,10.37,12.49,10.36,15.41,44.86,45.589999999999996,45.86,45.2,48.47
9015.09,42.8,40.17,39.57,42.81,48.63,22.32,14.63,13.23,13.27,18.37,65.12,54.800000000000004,52.8,56.08,67.0
9015.10,35.71,36.81,35.69,43.46,43.38,21.04,20.72,15.16,19.83,15.73,56.75,57.53,50.849999999999994,63.29,59.11
9015.11,34.81,33.83,32.74,32.82,38.25,75.99,69.82,67.03,70.9,76.08,110.8,103.64999999999999,99.77000000000001,103.72,114.33
9016.01,46.51,41.37,51.17,43.31,37.9,27.68,24.06,23.43,18.9,11.18,74.19,65.42999999999999,74.6,62.21,49.08
9016.02,30.89,32.01,33.44,29.91,28.68,11.65,12.79,12.62,11.66,11.47,42.54,44.8,46.059999999999995,41.57,40.15
9017.02,35.91,33.52,36.44,27.31,23.76,12.37,11.11,11.51,9.09,8.92,48.279999999999994,44.63,47.949999999999996,36.4,32.68
9017.03,21.07,22.37,21.68,18.04,17.7,11.84,13.11,13.1,9.73,12.63,32.91,35.480000000000004,34.78,27.77,30.33
9017.04,42.76,41.27,41.16,40.01,38.52,19.46,17.39,17.83,14.24,9.36,62.22,58.660000000000004,58.989999999999995,54.25,47.88
9019,31.47,46.8,42.55,43.06,41.88,10.97,11.83,11.41,9.4,8.69,42.44,58.629999999999995,53.959999999999994,52.46,50.57
9801,,,,,,,,,,,,,,,
