censustract,total_2024,Owner_occupied_2024,total_2023,Owner_occupied_2023,total_2022,Owner_occupied_2022,total_2021,Owner_occupied_2021,total_2020,Owner_occupied_2020,prop_owner_occupied_2024,prop_owner_occupied_2023,prop_owner_occupied_2022,prop_owner_occupied_2021,prop_owner_occupied_2020
9014.18,5331,1672,4338,1072,4256,1069,3885,787,4060,934,31.36,24.71,25.12,20.26,23.0
9014.19,3985,1141,3801,1148,3837,1129,4076,1047,4257,939,28.63,30.2,29.42,25.69,22.06
9014.20,3923,3776,4184,3912,4328,3901,4273,3886,4495,4115,96.25,93.5,90.13,90.94,91.55
9014.21,5468,4804,5305,4646,5377,4899,5202,4989,4675,4560,87.86,87.58,91.11,95.91,97.54
9015.03,5695,5547,5509,5374,5327,5178,5351,5219,5320,5239,97.4,97.55,97.2,97.53,98.48
9015.04,4718,4039,4741,3937,4615,3831,4368,3623,4321,3528,85.61,83.04,83.01,82.94,81.65
9015.05,7574,6884,7208,6737,7237,7142,7555,7259,7301,7063,90.89,93.47,98.69,96.08,96.74
9015.06,6590,4867,6803,5063,7010,5061,7071,5012,7081,5020,73.85,74.42,72.2,70.88,70.89
9015.07,2968,2572,2944,2585,2867,2410,2812,2454,2825,2195,86.66,87.81,84.06,87.27,77.7
9015.08,6261,4573,6035,4426,5770,4548,5898,4664,5847,4457,73.04,73.34,78.82,79.08,76.23
9015.09,8083,7687,7913,7376,7726,7292,7478,7195,6899,6598,95.1,93.21,94.38,96.22,95.64
9015.10,6049,5044,6380,5420,6476,5216,6383,5302,5997,4834,83.39,84.95,80.54,83.06,80.61
9015.11,4469,4361,4515,4439,4381,4320,4221,4125,3978,3893,97.58,98.32,98.61,97.73,97.86
9016.01,4299,3298,3596,2453,4646,3423,4124,3329,3961,2997,76.72,68.21,73.68,80.72,75.66
9016.02,7650,4892,7912,5094,8377,5449,7986,5174,8098,4800,63.95,64.38,65.05,64.79,59.27
9017.02,4831,3069,4815,3158,4641,2864,4455,2449,4356,2307,63.53,65.59,61.71,54.97,52.96
9017.03,2750,2658,2574,2550,2418,2394,2770,2745,2518,2490,96.65,99.07,99.01,99.1,98.89
9017.04,7250,2533,7111,2963,6577,2787,7146,2834,6966,2386,34.94,41.67,42.37,39.66,34.25
9019,7248,3400,8132,3868,7720,3529,7148,3375,6694,3403,46.91,47.57,45.71,47.22,50.84
9801,0,0,0,0,0,0,0,0,0,0,,,,,
