censustract,total_2024,hispanic_2024,total_2023,hispanic_2023,total_2022,hispanic_2022,total_2021,hispanic_2021,total_2020,hispanic_2020,Hispanic_Proportion_2024,Hispanic_Proportion_2023,Hispanic_Proportion_2022,Hispanic_Proportion_2021,Hispanic_Proportion_2020
9012.36,6711,1109,6762,1104,6419,775,6453,709,6054,585,16.53,16.33,12.07,10.99,9.66
9012.37,3138,583,3079,291,2982,605,3165,555,2933,521,18.58,9.45,20.29,17.54,17.76
9013.03,5264,1414,5242,1396,5165,1276,4933,1075,4682,840,26.86,26.63,24.7,21.79,17.94
9013.04,3172,565,3181,534,3235,652,3121,612,2987,632,17.81,16.79,20.15,19.61,21.16
9013.05,4670,915,3944,793,4070,628,3680,609,3581,397,19.59,20.11,15.43,16.55,11.09
9013.06,5417,645,5068,425,5259,660,5266,708,4903,592,11.91,8.39,12.55,13.44,12.07
9014.03,7455,2711,7489,3149,7258,2587,7684,3251,6933,2529,36.36,42.05,35.64,42.31,36.48
9014.07,4160,1489,4207,1313,4385,1717,4220,1818,4276,1715,35.79,31.21,39.16,43.08,40.11
9014.09,9064,1226,9185,1229,9046,1390,8770,1226,8290,1104,13.53,13.38,15.37,13.98,13.32
9014.11,6049,668,5901,912,6030,786,6137,675,5948,502,11.04,15.46,13.03,11.0,8.44
9014.12,6825,568,7645,687,7753,922,7671,905,7444,766,8.32,8.99,11.89,11.8,10.29
9014.13,4625,839,4321,712,4425,684,4254,532,4218,459,18.14,16.48,15.46,12.51,10.88
9014.14,5400,882,5453,527,5466,601,5242,542,5183,658,16.33,9.66,11.0,10.34,12.7
9014.15,4689,800,4498,578,4403,598,4526,594,4433,514,17.06,12.85,13.58,13.12,11.59
9014.16,5248,572,5129,587,5143,635,4982,449,5086,542,10.9,11.44,12.35,9.01,10.66
9014.17,3134,283,3054,334,2914,410,2666,289,2535,124,9.03,10.94,14.07,10.84,4.89
9014.18,5331,2428,4338,1701,4256,1853,3885,1642,4060,1635,45.54,39.21,43.54,42.27,40.27
9014.19,3985,1959,3801,2023,3837,2264,4076,2190,4257,2171,49.16,53.22,59.0,53.73,51.0
9014.20,3923,596,4184,583,4328,577,4273,384,4495,502,15.19,13.93,13.33,8.99,11.17
9014.21,5497,999,5336,1318,5416,1079,5248,1154,4733,1016,18.17,24.7,19.92,21.99,21.47
9015.03,5695,598,5509,504,5327,375,5351,467,5320,708,10.5,9.15,7.04,8.73,13.31
9015.04,4892,307,4897,249,4756,205,4464,203,4433,230,6.28,5.08,4.31,4.55,5.19
9015.05,7574,668,7208,447,7237,556,7555,585,7301,498,8.82,6.2,7.68,7.74,6.82
9015.06,6590,1294,6803,1330,7010,1215,7071,1257,7081,1291,19.64,19.55,17.33,17.78,18.23
9015.07,2978,618,2954,592,2874,603,2815,360,2827,467,20.75,20.04,20.98,12.79,16.52
9015.08,6261,697,6035,641,5770,735,5898,605,5847,430,11.13,10.62,12.74,10.26,7.35
9015.09,8086,984,7915,960,7727,1014,7478,937,6899,773,12.17,12.13,13.12,12.53,11.2
9015.10,6049,748,6380,682,6476,636,6383,486,5997,480,12.37,10.69,9.82,7.61,8.0
9015.11,4469,304,4515,289,4381,254,4221,234,3978,159,6.8,6.4,5.8,5.54,4.0
9016.01,4367,2955,3651,2287,4688,3111,4146,2258,3973,1959,67.67,62.64,66.36,54.46,49.31
9016.02,7650,3960,7912,3819,8377,4164,7986,3406,8098,3358,51.76,48.27,49.71,42.65,41.47
9017.02,4831,3455,4815,3478,4641,3120,4455,3318,4356,3023,71.52,72.23,67.23,74.48,69.4
9017.03,2750,1656,2574,1445,2418,1328,2770,2096,2518,1792,60.22,56.14,54.92,75.67,71.17
9017.04,7269,4957,7116,4609,6582,4260,7151,4430,6971,4343,68.19,64.77,64.72,61.95,62.3
9019,7256,3199,8141,4136,7729,3791,7155,3241,6702,2949,44.09,50.8,49.05,45.3,44.0
9801,0,0,0,0,0,0,0,0,0,0,,,,,
