ID,Raw_Opportunity_Index,Standardized_Opportunity_Index,PWC_Opportunity_Index,Opportunity_Tier,Top_Domain,Socioeconomic_Rank,Housing_Rank,Transportation_Rank,TransportationSafety_Rank,Environmental_Rank,PublicHealth_Rank,Socioeconomic_Score_Weighted,Housing_Score_Weighted,Transportation_Score_Weighted,TransportationSafety_Score_Weighted,Environmental_Score_Weighted,PublicHealth_Score_Weighted
51153900403,5.019148485177283,5.3530192030071015,8,Exceptional Opportunity,PublicHealth,2.0,6.0,3.0,4.0,5.0,1.0,0.3507193149406783,0.0031086332490642696,-0.04672612901300012,-0.023963749735670628,-0.01227558530925808,4.748286001045469
51153900410,0.9437220639790307,1.0064978841929624,8,Exceptional Opportunity,PublicHealth,2.0,3.0,4.0,5.0,6.0,1.0,0.14544090442411056,-0.06371086009120196,0.04006036099550015,0.02776754483164701,-0.009418282986260641,0.8035823968052356
51153900404,1.0935969978514604,1.1663424079080638,8,Exceptional Opportunity,Socioeconomic,1.0,6.0,5.0,3.0,4.0,2.0,0.8129862161112457,-0.0016893729335605624,0.012684901705012467,-0.046255029749842656,-0.01603069758408263,0.33190098030268794
51153900504,2.0776263590042063,2.215828806274181,8,Exceptional Opportunity,Socioeconomic,1.0,5.0,3.0,4.0,6.0,2.0,1.4784438698000477,-0.03104782612194469,-0.08161566013768744,0.0723255859817989,-0.0061098926229944716,0.6456302821049863
51153900803,1.190282087555565,1.2694589312304967,8,Exceptional Opportunity,PublicHealth,2.0,4.0,6.0,3.0,5.0,1.0,0.35709524735174175,-0.033250320857089864,-0.008762739769781253,0.06507556794470451,0.011647819664374861,0.7984765132216151
51153900901,1.682320467579421,1.7942274063339332,8,Exceptional Opportunity,PublicHealth,2.0,4.0,3.0,6.0,5.0,1.0,0.4336750318720941,-0.023821038767248524,-0.038410783417572564,-0.006068963672650259,0.020016758248987597,1.2969294633158106
51153900602,1.1470543840676921,1.2233557470836527,8,Exceptional Opportunity,Socioeconomic,1.0,4.0,5.0,3.0,6.0,2.0,0.7452239678003496,-0.0860253912029393,-0.034272665557270106,0.09354401437570187,-0.0024599144584237474,0.4310443731102739
51153901504,1.2868361688074827,1.3724357314978366,8,Exceptional Opportunity,PublicHealth,2.0,5.0,3.0,4.0,6.0,1.0,-0.2611531557825537,0.017643132474829976,-0.07958054640247579,0.07061759286863628,-0.004347404956747279,1.5436565506057933
51153901403,1.6619419511483364,1.7724933233303024,8,Exceptional Opportunity,PublicHealth,2.0,4.0,3.0,5.0,6.0,1.0,0.558353362503333,-0.06551971983785809,-0.09459270240140007,-0.035293151553068516,0.008379248846804894,1.2906149135905252
51153901704,1.7587442741277357,1.8757348782145102,8,Exceptional Opportunity,PublicHealth,2.0,4.0,3.0,5.0,6.0,1.0,0.925600119355279,-0.057914223216503816,-0.14800244502493712,0.04140014031295098,0.006177851436604041,0.9914828312643428
51153901602,1.36987145578254,1.4609944754794837,8,Exceptional Opportunity,PublicHealth,2.0,5.0,4.0,3.0,6.0,1.0,0.14303236269587716,-0.006420888964555115,-0.01784682005869536,0.023641162736559036,0.004767777528348025,1.2226978618450062
51153901012,1.176142047462289,1.2543783042328829,8,Exceptional Opportunity,PublicHealth,3.0,5.0,4.0,2.0,6.0,1.0,-0.0671943849660928,0.008553124026389766,0.032566028806263775,0.07398732687913846,0.0009226697856121598,1.1273072829309776
51153900701,0.660455006604372,0.704388073697427,7,Exceptional Opportunity,PublicHealth,2.0,3.0,5.0,4.0,6.0,1.0,0.3264317576333756,-0.04783642204335168,-0.023670130823272316,-0.0301825340284459,-0.001269528931568511,0.4369818647976348
51153901407,0.8588109160818431,0.9159384981565944,7,Exceptional Opportunity,Socioeconomic,1.0,4.0,5.0,3.0,6.0,2.0,0.45488498050169784,-0.0514277864083955,-0.02843637901276475,0.07035070401995355,0.004854807766624859,0.4085845892147271
