censustract,total_2024,white_2024,black_2024,asian_2024,total_2023,white_2023,black_2023,asian_2023,total_2022,white_2022,black_2022,asian_2022,total_2021,white_2021,black_2021,asian_2021,total_2020,white_2020,black_2020,asian_2020,White_Proportion_2024,Black_Proportion_2024,Asian_Proportion_2024,White_Proportion_2023,Black_Proportion_2023,Asian_Proportion_2023,White_Proportion_2022,Black_Proportion_2022,Asian_Proportion_2022,White_Proportion_2021,Black_Proportion_2021,Asian_Proportion_2021,White_Proportion_2020,Black_Proportion_2020,Asian_Proportion_2020
9009.05,6083,1501,3001,427,6301,1591,3031,423,6152,1780,2841,342,6270,1928,2865,467,6124,2111,2788,353,24.68,49.33,7.02,25.25,48.1,6.71,28.93,46.18,5.56,30.75,45.69,7.45,34.47,45.53,5.76
9010.05,6960,3476,1054,731,6849,3811,1053,593,6623,3991,1105,601,6583,3981,1221,593,6463,3846,1293,608,49.94,15.14,10.5,55.64,15.37,8.66,60.26,16.68,9.07,60.47,18.55,9.01,59.51,20.01,9.41
9010.09,7467,3704,1291,550,7328,3871,1079,630,7436,4172,1226,611,7118,4277,1403,551,6973,4796,1048,783,49.6,17.29,7.37,52.82,14.72,8.6,56.11,16.49,8.22,60.09,19.71,7.74,68.78,15.03,11.23
9010.10,4790,2996,458,223,4765,2995,631,284,4906,3254,864,210,4910,3319,797,156,4587,3084,893,150,62.55,9.56,4.66,62.85,13.24,5.96,66.33,17.61,4.28,67.6,16.23,3.18,67.23,19.47,3.27
9010.11,6564,1971,1920,1538,6534,2150,2109,1170,6257,2736,1948,785,6073,2702,1943,669,6173,2866,2093,437,30.03,29.25,23.43,32.9,32.28,17.91,43.73,31.13,12.55,44.49,31.99,11.02,46.43,33.91,7.08
9010.12,3566,2332,649,145,3668,2278,836,128,3484,2491,535,78,3860,2683,601,199,3596,2542,728,154,65.4,18.2,4.07,62.1,22.79,3.49,71.5,15.36,2.24,69.51,15.57,5.16,70.69,20.24,4.28
9010.13,3076,686,1240,367,3425,982,1516,409,3349,1447,1304,87,3467,1432,1310,143,3369,1437,1365,166,22.3,40.31,11.93,28.67,44.26,11.94,43.21,38.94,2.6,41.3,37.78,4.12,42.65,40.52,4.93
9010.14,5094,1604,1097,1089,5083,1727,987,1141,4983,1677,1074,1184,4844,1709,1142,1262,4642,1582,1261,1145,31.49,21.54,21.38,33.98,19.42,22.45,33.65,21.55,23.76,35.28,23.58,26.05,34.08,27.17,24.67
9010.15,3386,236,2339,520,3561,387,2548,245,3561,651,2536,103,3420,999,1918,109,3270,790,1733,174,6.97,69.08,15.36,10.87,71.55,6.88,18.28,71.22,2.89,29.21,56.08,3.19,24.16,53.0,5.32
9010.16,5979,1220,2043,767,6020,1445,1867,718,5428,1426,1825,764,5160,1366,1636,877,4778,1558,1370,463,20.4,34.17,12.83,24.0,31.01,11.93,26.27,33.62,14.08,26.47,31.71,17.0,32.61,28.67,9.69
9011.01,2612,1287,368,351,2474,1198,311,379,2290,1307,294,332,2348,1257,507,147,2243,1404,469,143,49.27,14.09,13.44,48.42,12.57,15.32,57.07,12.84,14.5,53.53,21.59,6.26,62.59,20.91,6.38
9011.02,3560,2749,157,52,3347,2519,250,45,3378,2663,286,19,3212,2388,388,32,3106,2301,331,28,77.22,4.41,1.46,75.26,7.47,1.34,78.83,8.47,0.56,74.35,12.08,1.0,74.08,10.66,0.9
9012.03,3671,1218,690,405,3835,1860,572,252,3536,1546,719,280,3766,1743,523,491,3786,1967,424,600,33.18,18.8,11.03,48.5,14.92,6.57,43.72,20.33,7.92,46.28,13.89,13.04,51.95,11.2,15.85
9012.08,3407,1451,658,44,3379,1939,706,86,3519,2146,473,95,3441,2162,488,134,3386,2065,370,150,42.59,19.31,1.29,57.38,20.89,2.55,60.98,13.44,2.7,62.83,14.18,3.89,60.99,10.93,4.43
9012.09,6559,2336,1234,1014,6605,2414,1284,961,6564,2896,1232,772,6791,3729,1168,687,7239,3765,1172,775,35.62,18.81,15.46,36.55,19.44,14.55,44.12,18.77,11.76,54.91,17.2,10.12,52.01,16.19,10.71
9012.11,4512,1010,442,854,4757,1563,662,664,4792,1810,594,602,4754,1758,756,461,4520,2329,553,399,22.38,9.8,18.93,32.86,13.92,13.96,37.77,12.4,12.56,36.98,15.9,9.7,51.53,12.23,8.83
9012.12,6641,1469,1457,490,7299,2086,1630,598,7569,2388,1892,513,7849,2808,1956,888,8354,3028,2129,957,22.12,21.94,7.38,28.58,22.33,8.19,31.55,25.0,6.78,35.78,24.92,11.31,36.25,25.48,11.46
9012.19,5335,3853,352,255,5376,3910,397,346,5493,4106,481,351,5331,4309,567,242,5467,4651,549,116,72.22,6.6,4.78,72.73,7.38,6.44,74.75,8.76,6.39,80.83,10.64,4.54,85.07,10.04,2.12
9012.21,6771,2961,2238,599,6410,2956,2217,502,6449,2805,2524,349,6277,2783,2377,323,5872,2758,2204,353,43.73,33.05,8.85,46.12,34.59,7.83,43.5,39.14,5.41,44.34,37.87,5.15,46.97,37.53,6.01
9012.22,2567,1504,379,151,2553,1398,372,113,2624,1595,391,90,2565,1630,419,82,2657,1731,474,62,58.59,14.76,5.88,54.76,14.57,4.43,60.79,14.9,3.43,63.55,16.34,3.2,65.15,17.84,2.33
9012.23,6304,2900,792,823,6300,2792,1137,772,6194,3083,1114,775,6197,3487,1410,807,6283,3669,1361,764,46.0,12.56,13.06,44.32,18.05,12.25,49.77,17.99,12.51,56.27,22.75,13.02,58.4,21.66,12.16
9012.24,4401,2260,481,225,4352,2496,458,282,4276,2700,338,210,4355,2743,515,248,4794,3038,691,161,51.35,10.93,5.11,57.35,10.52,6.48,63.14,7.9,4.91,62.99,11.83,5.69,63.37,14.41,3.36
9012.25,4771,2267,735,493,4968,2299,1045,609,4961,2709,1009,560,5096,2999,1170,425,5210,2953,1341,567,47.52,15.41,10.33,46.28,21.03,12.26,54.61,20.34,11.29,58.85,22.96,8.34,56.68,25.74,10.88
9012.26,6258,1868,1658,916,6355,2175,1502,1155,6384,2770,1611,1139,6520,2988,1752,1229,6352,3181,1835,943,29.85,26.49,14.64,34.23,23.63,18.17,43.39,25.23,17.84,45.83,26.87,18.85,50.08,28.89,14.85
9012.27,5679,1845,1087,484,6181,2012,1130,575,6079,2650,850,516,5825,2860,1078,357,5063,2837,1033,424,32.49,19.14,8.52,32.55,18.28,9.3,43.59,13.98,8.49,49.1,18.51,6.13,56.03,20.4,8.37
9012.28,6141,2220,989,607,6474,2078,1136,695,6578,2373,1234,742,6346,2620,1241,520,5818,2646,1248,344,36.15,16.1,9.88,32.1,17.55,10.74,36.07,18.76,11.28,41.29,19.56,8.19,45.48,21.45,5.91
9012.29,4500,1610,1344,428,4706,1766,1424,431,4766,1805,1338,393,4894,2202,1496,324,4848,2091,1420,494,35.78,29.87,9.51,37.53,30.26,9.16,37.87,28.07,8.25,44.99,30.57,6.62,43.13,29.29,10.19
9012.30,4159,1327,974,627,4025,1411,1000,583,4116,1829,1073,429,4032,2117,977,260,4009,2208,1011,253,31.91,23.42,15.08,35.06,24.84,14.48,44.44,26.07,10.42,52.5,24.23,6.45,55.08,25.22,6.31
9012.31,7405,4163,703,558,6580,4320,685,551,6456,4117,863,550,6048,4480,652,439,6057,4267,554,751,56.22,9.49,7.54,65.65,10.41,8.37,63.77,13.37,8.52,74.07,10.78,7.26,70.45,9.15,12.4
9012.32,6564,3836,1024,485,6293,3801,1047,439,6141,3651,1147,373,5969,3752,1165,308,5555,3556,1047,283,58.44,15.6,7.39,60.4,16.64,6.98,59.45,18.68,6.07,62.86,19.52,5.16,64.01,18.85,5.09
9012.33,7514,4813,572,438,7242,5376,376,495,6851,5252,429,407,6851,5130,555,389,6555,5120,610,376,64.05,7.61,5.83,74.23,5.19,6.84,76.66,6.26,5.94,74.88,8.1,5.68,78.11,9.31,5.74
9012.34,3576,2257,379,105,3193,2009,305,91,2986,1980,294,185,3046,2104,344,139,2948,2102,347,136,63.12,10.6,2.94,62.92,9.55,2.85,66.31,9.85,6.2,69.07,11.29,4.56,71.3,11.77,4.61
9012.35,2932,1603,619,266,2875,1550,577,305,3004,2016,548,233,3033,1921,646,212,2983,1941,532,225,54.67,21.11,9.07,53.91,20.07,10.61,67.11,18.24,7.76,63.34,21.3,6.99,65.07,17.83,7.54
9012.36,6711,3442,1360,585,6762,3457,1567,546,6419,3480,1465,563,6453,3279,1729,662,6054,3000,1761,656,51.29,20.27,8.72,51.12,23.17,8.07,54.21,22.82,8.77,50.81,26.79,10.26,49.55,29.09,10.84
9012.37,3138,1622,848,246,3079,1768,612,363,2982,1857,517,166,3165,1552,843,247,2933,1456,821,261,51.69,27.02,7.84,57.42,19.88,11.79,62.27,17.34,5.57,49.04,26.64,7.8,49.64,27.99,8.9
9013.03,5264,2704,502,466,5242,2999,500,375,5165,3181,562,363,4933,3110,510,301,4682,3246,507,252,51.37,9.54,8.85,57.21,9.54,7.15,61.59,10.88,7.03,63.04,10.34,6.1,69.33,10.83,5.38
9013.04,3172,2235,106,136,3181,2308,116,212,3235,2485,119,168,3121,2356,132,210,2987,2401,128,179,70.46,3.34,4.29,72.56,3.65,6.66,76.82,3.68,5.19,75.49,4.23,6.73,80.38,4.29,5.99
9013.05,4670,3379,219,86,3944,2756,238,86,4070,3356,280,69,3680,2855,291,106,3581,2949,277,88,72.36,4.69,1.84,69.88,6.03,2.18,82.46,6.88,1.7,77.58,7.91,2.88,82.35,7.74,2.46
9013.06,5417,4174,295,125,5068,4181,300,100,5259,4153,450,147,5266,4223,464,156,4903,4156,375,140,77.05,5.45,2.31,82.5,5.92,1.97,78.97,8.56,2.8,80.19,8.81,2.96,84.76,7.65,2.86
9014.03,7455,3285,1328,987,7489,4336,1052,859,7258,4159,1200,824,7684,4327,1451,740,6933,3611,1504,1026,44.06,17.81,13.24,57.9,14.05,11.47,57.3,16.53,11.35,56.31,18.88,9.63,52.08,21.69,14.8
9014.07,4160,1456,726,615,4207,1447,939,745,4385,1660,704,819,4220,2042,609,568,4276,2396,798,561,35.0,17.45,14.78,34.4,22.32,17.71,37.86,16.05,18.68,48.39,14.43,13.46,56.03,18.66,13.12
