ID,STATE_NAME,ST_ABBREV,CNTY_NAME,ACSTOTPOP,ACSIPOVBAS,ACSEDUCBAS,ACSTOTHH,ACSTOTHU,ACSUNEMPBAS,ACSDISABBAS,DEMOGIDX_2,DEMOGIDX_5,PEOPCOLOR,PEOPCOLORPCT,LOWINCOME,LOWINCPCT,UNEMPLOYED,UNEMPPCT,DISABILITY,DISABILITYPCT,LINGISO,LINGISOPCT,LESSHS,LESSHSPCT,UNDER5,UNDER5PCT,OVER64,OVER64PCT,LIFEEXPPCT,PM25,OZONE,DSLPM,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,NO2,DWATER,Shape_Length,Shape_Area
51153900410,VIRGINIA,VA,Prince William County,5891,5891,3683,2078,2214,3548,5856,2.742017858,1.322219504,5197,0.882193176,1810,0.307248345,178,0.050169109,304,0.051912568,149,0.071703561,252,0.068422482,638,0.108300798,229,0.038872857,0.176410256,7.158474044,55.32373,0.176123879,36.39436334,1318504.531,33,0.014905149,0.234565584,0,0.042028269,1.822891019,2210.774855,7.097802327,0,0.108896328,0.000450708
51153900502,VIRGINIA,VA,Prince William County,5112,4801,3551,2041,2130,3043,4728,1.897269345,0.937691702,3555,0.695422535,745,0.155176005,164,0.053894183,292,0.061759729,69,0.033806957,162,0.045620952,388,0.075899844,445,0.087050078,0.176410256,7.152292077,55.49733,0.211705209,44.85417152,1523818.995,0,0,0.220695041,0,0.20549711,2.088257473,2471.517405,7.548125292,0,0.081049101,0.000221028
51153900503,VIRGINIA,VA,Prince William County,3823,3650,2318,1229,1275,2305,3802,2.42352595,1.648542578,3296,0.862150144,788,0.215890411,175,0.075921909,258,0.067859022,104,0.084621644,485,0.209232097,352,0.092074287,346,0.090504839,0.164102564,7.193168306,55.66076,0.217562229,42.095928,1907799.483,174,0.136470588,0.12830849,0,0.226708482,1.263350919,2006.137798,7.477478341,0,0.085614739,0.00019543
51153900504,VIRGINIA,VA,Prince William County,5079,5060,2912,1385,1546,2649,5079,3.194031975,2.765592716,4384,0.86316204,2373,0.468972332,509,0.19214798,640,0.126009057,294,0.212274368,690,0.236950549,254,0.050009844,564,0.111045481,0.164102564,7.177772131,55.69278,0.217556775,45.25113794,1365936.922,186,0.120310479,0.110172242,0,0.230626832,2.15025423,2152.487718,7.118523772,0,0.060757351,0.000203547
51153900601,VIRGINIA,VA,Prince William County,3620,3367,2223,973,977,1974,3620,2.844594612,2.506825138,2831,0.782044199,1376,0.408672409,69,0.034954407,380,0.104972376,136,0.139773895,500,0.224921278,385,0.106353591,321,0.088674033,0.209230769,7.144686885,55.77587,0.200556916,51.94356778,991004.3362,207,0.211873081,0.128927425,0,0.243795815,3.204844393,2511.424884,6.613009549,0,0.058328324,0.000168002
51153900602,VIRGINIA,VA,Prince William County,3586,3586,1830,1350,1459,2263,3492,3.125116448,2.354031175,3081,0.859174568,1610,0.44896821,73,0.032258065,196,0.056128293,245,0.181481481,257,0.140437158,278,0.077523703,194,0.054099275,0.209230769,7.172420219,55.84385,0.215971619,48.63163107,1142798.963,186,0.127484578,0.122189658,0.057887864,0.287571303,2.758406258,2267.25926,7.022999902,0,0.053854474,0.000119001
51153900701,VIRGINIA,VA,Prince William County,7048,7040,4843,2530,2948,4245,6986,2.921177198,1.266769956,6079,0.862514188,2672,0.379545455,260,0.061248528,521,0.074577727,59,0.023320158,218,0.045013421,572,0.081157775,475,0.067395006,,7.128559016,55.5346,0.200355687,47.97493187,1153840.255,90,0.030529172,0.240154859,0,0.193484377,2.131176596,2850.34223,6.613335613,0,0.095380691,0.000285327
51153900702,VIRGINIA,VA,Prince William County,8311,8283,5238,2318,2435,5052,8262,2.236541295,1.501350015,6806,0.818914691,1520,0.183508391,503,0.099564529,983,0.118978456,155,0.06686799,743,0.141848034,468,0.056310913,560,0.06738058,0.165128205,7.111257104,55.6238,0.177713017,56.79743907,793963.6178,70,0.028747433,0.255181855,0,0.361530455,0.456434083,3604.508696,5.849758825,0,0.095577083,0.000494377
51153900801,VIRGINIA,VA,Prince William County,7017,6993,4574,2272,2272,4198,6917,1.612801461,0.813872312,5061,0.721248397,308,0.044044044,271,0.06455455,654,0.09454966,25,0.011003521,237,0.051814604,476,0.067835257,726,0.103463018,0.175384615,7.063994536,55.45296,0.179821116,59.70629063,708673.9258,0,0,0.326056004,0,0.414167476,1.267863648,4171.512648,4.933585435,0,0.163377554,0.001029809
51153900803,VIRGINIA,VA,Prince William County,5718,5718,3688,2104,2253,3215,5644,2.256793938,1.348964171,4470,0.781741868,1231,0.215285065,175,0.054432348,669,0.118532955,48,0.022813688,344,0.093275488,322,0.056313396,319,0.055788737,,7.071904098,55.14926,0.157864669,52.49390076,731358.0153,27,0.011984021,0.368213043,0,0.342470995,1.190701308,3870.957296,5.667331141,0,0.056416845,0.000141051
