censustract,total_2024,Mobile_homes_2024,total_2023,Mobile_homes_2023,total_2022,Mobile_homes_2022,total_2021,Mobile_homes_2021,total_2020,Mobile_homes_2020,prop_mobile_homes_2024,prop_mobile_homes_2023,prop_mobile_homes_2022,prop_mobile_homes_2021,prop_mobile_homes_2020
9015.04,2682,0,2672,0,2655,0,2563,0,2530,0,0.0,0.0,0.0,0.0,0.0
9015.05,2239,0,2255,24,2179,29,2152,28,2103,20,0.0,1.06,1.33,1.3,0.95
9015.06,1869,0,1902,0,1870,0,1867,0,1808,0,0.0,0.0,0.0,0.0,0.0
9015.07,1011,0,978,0,981,0,958,0,954,0,0.0,0.0,0.0,0.0,0.0
9015.08,2010,25,1955,24,1854,22,1826,14,1730,0,1.24,1.23,1.19,0.77,0.0
9015.09,2537,0,2477,0,2396,0,2301,0,2160,0,0.0,0.0,0.0,0.0,0.0
9015.10,2143,0,2083,0,2132,0,2053,0,1910,0,0.0,0.0,0.0,0.0,0.0
9015.11,1814,0,1782,0,1748,0,1667,0,1566,0,0.0,0.0,0.0,0.0,0.0
9016.01,1162,0,1145,0,1159,0,1126,0,1072,0,0.0,0.0,0.0,0.0,0.0
9016.02,2625,0,2639,0,2617,0,2579,0,2479,0,0.0,0.0,0.0,0.0,0.0
9017.02,1306,153,1302,190,1285,202,1310,174,1241,149,11.72,14.59,15.72,13.28,12.01
9017.03,744,0,754,0,711,0,697,0,707,0,0.0,0.0,0.0,0.0,0.0
9017.04,2069,44,2111,45,2126,0,2087,0,2047,0,2.13,2.13,0.0,0.0,0.0
9019,2434,11,2413,14,2378,10,2246,12,2213,0,0.45,0.58,0.42,0.53,0.0
9801,0,0,0,0,0,0,0,0,0,0,,,,,
