censustract,total_2024,single_parent_2024,total_2023,single_parent_2023,total_2022,single_parent_2022,total_2021,single_parent_2021,total_2020,single_parent_2020,single_parent_rate_2024,single_parent_rate_2023,single_parent_rate_2022,single_parent_rate_2021,single_parent_rate_2020
9013.05,1038,100,1146,183,1109,139,1086,76,1038,100,9.63,15.97,12.53,7.0,9.63
9013.06,1294,126,1487,204,1466,198,1401,177,1294,126,9.74,13.72,13.51,12.63,9.74
9014.03,1581,335,1580,609,1585,431,1688,520,1581,335,21.19,38.54,27.19,30.81,21.19
9014.07,970,384,990,380,1016,398,1011,354,970,384,39.59,38.38,39.17,35.01,39.59
9014.09,2116,374,2219,349,2262,404,2151,325,2116,374,17.67,15.73,17.86,15.11,17.67
9014.11,1588,173,1584,48,1576,78,1626,138,1588,173,10.89,3.03,4.95,8.49,10.89
9014.12,1913,246,1991,172,2055,207,2051,216,1913,246,12.86,8.64,10.07,10.53,12.86
9014.13,1053,195,1086,249,1070,267,1061,232,1053,195,18.52,22.93,24.95,21.87,18.52
9014.14,1273,133,1347,173,1399,170,1330,172,1273,133,10.45,12.84,12.15,12.93,10.45
9014.15,1180,222,1243,205,1218,211,1227,227,1180,222,18.81,16.49,17.32,18.5,18.81
9014.16,1105,154,1177,115,1163,141,1136,165,1105,154,13.94,9.77,12.12,14.52,13.94
9014.17,677,115,755,119,767,172,699,168,677,115,16.99,15.76,22.43,24.03,16.99
9014.18,922,305,1173,490,1037,433,1008,463,922,305,33.08,41.77,41.76,45.93,33.08
9014.19,1003,309,836,336,846,237,981,351,1003,309,30.81,40.19,28.01,35.78,30.81
9014.20,950,103,1029,192,991,134,956,126,950,103,10.84,18.66,13.52,13.18,10.84
9014.21,1186,115,1270,106,1307,131,1255,122,1186,115,9.7,8.35,10.02,9.72,9.7
9015.03,1523,154,1545,129,1533,124,1574,152,1523,154,10.11,8.35,8.09,9.66,10.11
9015.04,1471,200,1510,283,1456,260,1457,258,1471,200,13.6,18.74,17.86,17.71,13.6
9015.05,1964,291,2040,428,2020,416,2005,332,1964,291,14.82,20.98,20.59,16.56,14.82
9015.06,1594,298,1593,236,1593,272,1591,292,1594,298,18.7,14.81,17.07,18.35,18.7
9015.07,731,80,723,164,724,136,714,87,731,80,10.94,22.68,18.78,12.18,10.94
9015.08,1386,280,1491,346,1364,212,1409,248,1386,280,20.2,23.21,15.54,17.6,20.2
9015.09,1796,279,2004,398,1991,380,1912,338,1796,279,15.53,19.86,19.09,17.68,15.53
9015.10,1562,212,1739,230,1764,222,1730,240,1562,212,13.57,13.23,12.59,13.87,13.57
9015.11,1192,49,1346,114,1294,119,1256,109,1192,49,4.11,8.47,9.2,8.68,4.11
9016.01,828,223,812,210,910,275,889,250,828,223,26.93,25.86,30.22,28.12,26.93
9016.02,1938,616,1829,688,1954,676,1866,625,1938,616,31.79,37.62,34.6,33.49,31.79
9017.02,1043,464,1042,406,1083,400,1126,466,1043,464,44.49,38.96,36.93,41.39,44.49
9017.03,515,201,558,119,529,135,528,158,515,201,39.03,21.33,25.52,29.92,39.03
9017.04,1208,415,1290,560,1165,482,1198,461,1208,415,34.35,43.41,41.37,38.48,34.35
9019,1568,523,1987,604,1926,735,1656,536,1568,523,33.35,30.4,38.16,32.37,33.35
9801,0,0,0,0,0,0,0,0,0,0,,,,,
