OBJECTID,Document Nbr,Crash Year,Crash Date,Crash Military Time,Crash Severity,K_People,A_People,B_People,C_People,Persons Injured,Pedestrians Killed,Pedestrians Injured,Vehicle Count,Collision Type,Weather Condition,Light Condition,Roadway Surface Condition,Relation To Roadway,Roadway Alignment,Roadway Surface Type,Roadway Defect,Roadway Description,Intersection Type,Traffic Control Type,Traffic Control Status,Work Zone Related,Work Zone Location,Work Zone Type,School Zone,First Harmful Event,First Harmful Event Loc,Alcohol?,Animal Related?,Unrestrained?,Bike?,Distracted?,Drowsy?,Drug Related?,Guardrail Related?,Hitrun?,Lgtruck?,Motorcycle?,Pedestrian?,Speed?,Max Speed Diff,RoadDeparture Type,Intersection Analysis,Senior?,Young?,Mainline?,Night?,VDOT District,Juris Code,Physical Juris Name,Functional Class,Facility Type,Area Type,SYSTEM,VSP,Ownership,Planning District,MPO Name,RTE Name,RNS MP,Node,Node Offset (ft),x,y,Crash_Severity,type_severity,Type_severity
55,162315104,2016,8/17/2016 4:00:00 AM,1209,B,0,0,1,0,1,0,0,2,4. Sideswipe - Same Direction,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,1. No Traffic Control,6. No Traffic Control Device Present,2. No,,,3. No,6. Parked Vehicle,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,Yes,Yes,No,9. Northern Virginia,76,076. Prince William County,,,Urban,NonVDOT secondary,7,6. Private/Unknown Roads,Northern Virginia,NOVA,S-VA076PR TOURNAMENT DR,0.76,,,-77.637033995,38.833404236,Visible Injury,All Other,All Other
152,160565072,2016,2/24/2016 5:00:00 AM,1200,B,0,0,1,0,1,0,0,2,1. Rear End,5. Rain,2. Daylight,2. Wet,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,Yes,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"5-Major Collector (I,4)",4-Two-Way Divided,Urban,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC02480SB,0.02,750710.0,65.72,-77.3088269,38.6153922250001,Visible Injury,All Other,All Other
238,170095071,2016,12/30/2016 5:00:00 AM,1807,B,0,0,1,1,2,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,Yes,5.0,NOT_RD,VDOT Intersection,No,No,Yes,Yes,9. Northern Virginia,76,076. Prince William County,"3-Principal Arterial - Other (E,2)",4-Two-Way Divided,Urban,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   US00001SB,175.04,547044.0,39.44,-77.261110526,38.6493592520001,Visible Injury,All Other,All Other
251,162435089,2016,8/27/2016 4:00:00 AM,1513,B,0,0,3,0,3,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",3. Three Approaches,4. Stop Sign,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"5-Major Collector (I,4)",3-Two-Way Undivided,Urban,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC01637WB,0.01,703344.0,36.82,-77.512966448,38.796683337,Visible Injury,All Other,All Other
328,161585238,2016,6/5/2016 4:00:00 AM,153,B,0,0,1,0,1,0,0,2,3. Head On,5. Rain,4. Darkness - Road Lighted,2. Wet,10. Intersection Related - Within 150 Feet,3. Grade - Straight,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",3. Three Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,Yes,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,No,Yes,Yes,9. Northern Virginia,76,076. Prince William County,"4-Minor Arterial (H,3)",4-Two-Way Divided,Urban,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC00784EB,4.57,548964.0,86.68,-77.333191646,38.6409090720001,Visible Injury,All Other,All Other
457,161525087,2016,5/28/2016 4:00:00 AM,1730,B,0,0,1,0,1,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,8. Non-Intersection,6. Hillcrest - Curve,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,6. Traffic Lanes Marked,6. No Traffic Control Device Present,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,Yes,No,No,,NOT_RD,Not Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"5-Major Collector (I,4)",3-Two-Way Undivided,Rural,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC00619EB,17.98,1219222.0,310.47,-77.422959466,38.6042245880001,Visible Injury,Motorcycle-related,Motorcycle-related
491,162925088,2016,10/17/2016 4:00:00 AM,230,A,0,1,0,0,1,0,0,1,8. Non-Collision,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,1. Dry,8. Non-Intersection,4. Grade - Curve,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,30. Overturn (Rollover),2. Shoulder,Yes,No,Belted,No,No,No,No,No,No,No,No,No,No,,RD_LEFT,Not Intersection,No,No,Yes,Yes,9. Northern Virginia,76,076. Prince William County,"5-Major Collector (I,4)",3-Two-Way Undivided,Urban,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC00688NB,0.94,546450.0,286.43,-77.446015584,38.719419563,Severe Injury,All Other,All Other
573,161305122,2016,5/8/2016 4:00:00 AM,1043,B,0,0,1,1,2,0,0,2,4. Sideswipe - Same Direction,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,1. Main-Line Roadway,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",1. Not at Intersection,1. No Traffic Control,6. No Traffic Control Device Present,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"5-Major Collector (I,4)",4-Two-Way Divided,Urban,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC01600NB,2.48,547546.0,168.33,-77.525374073,38.7927627650001,Visible Injury,All Other,All Other
581,161335056,2016,5/11/2016 4:00:00 AM,1514,B,0,0,1,0,1,0,0,2,1. Rear End,5. Rain,2. Daylight,2. Wet,9. Within Intersection,3. Grade - Straight,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",3. Three Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"4-Minor Arterial (H,3)",4-Two-Way Divided,Urban,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   SR00028NB,19.92,1286364.0,88.8,-77.5299675479999,38.738281369,Visible Injury,All Other,All Other
959,163645099,2016,12/23/2016 5:00:00 AM,1449,B,0,0,1,0,1,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,Yes,No,No,No,No,No,No,No,Yes,20.0,NOT_RD,Not Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,2-Principal Arterial - Other Freeways and Expressways (B),4-Two-Way Divided,Urban,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   SR00294WB,8.98,720648.0,289.49,-77.360745278,38.681521939,Visible Injury,All Other,All Other
1000,160045116,2016,1/1/2016 5:00:00 AM,1533,B,0,0,2,1,3,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,Yes,Yes,No,9. Northern Virginia,76,076. Prince William County,"4-Minor Arterial (H,3)",4-Two-Way Divided,Urban,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   SR00028NB,18.96,546123.0,5.65,-77.5458385049999,38.732681418,Visible Injury,All Other,All Other
1001,161445117,2016,5/21/2016 4:00:00 AM,555,B,0,0,1,0,1,0,0,2,1. Rear End,5. Rain,1. Dawn,2. Wet,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,Yes,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"3-Principal Arterial - Other (E,2)",4-Two-Way Divided,Urban,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   SR00028NB,25.56,547592.0,63.39,-77.4513827759999,38.7765128990001,Visible Injury,All Other,All Other
1024,163265073,2016,11/18/2016 5:00:00 AM,1519,B,0,0,1,5,6,0,0,6,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,Yes,Yes,No,9. Northern Virginia,76,076. Prince William County,"3-Principal Arterial - Other (E,2)",4-Two-Way Divided,Urban,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   SR00294WB,10.43,703565.0,113.02,-77.336735367,38.6730910900001,Visible Injury,All Other,All Other
1087,160955072,2016,3/21/2016 4:00:00 AM,2001,B,0,0,2,0,2,0,0,2,2. Angle,4. Mist,5. Darkness - Road Not Lighted,2. Wet,8. Non-Intersection,4. Grade - Curve,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,Yes,No,Belted,No,Yes,No,No,No,Yes,No,No,No,No,,NOT_RD,Not Intersection,No,No,Yes,Yes,9. Northern Virginia,76,076. Prince William County,"5-Major Collector (I,4)",3-Two-Way Undivided,Urban,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC00638EB,2.38,,,-77.280492265,38.6114689030001,Visible Injury,All Other,All Other
1098,163235099,2016,11/15/2016 5:00:00 AM,1600,B,0,0,2,0,2,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"3-Principal Arterial - Other (E,2)",3-Two-Way Undivided,Urban,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   SR00028NB,26.27,547389.0,5.96,-77.449071733,38.7868145140001,Visible Injury,All Other,All Other
1111,161795101,2016,6/23/2016 4:00:00 AM,1330,C,0,0,0,1,1,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,"8. Sign, Traffic Signal",1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,RD_LEFT,Not Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"5-Major Collector (I,4)",3-Two-Way Undivided,Rural,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   SR00215EB,2.75,546024.0,499.43,-77.6547808289999,38.7510043520001,Nonvisible Injury,All Other,All Other
1144,162565198,2016,8/29/2016 4:00:00 AM,309,A,0,1,0,0,1,0,1,1,12. Ped,1. No Adverse Condition (Clear/Cloudy),5. Darkness - Road Not Lighted,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,1. No Traffic Control,6. No Traffic Control Device Present,2. No,,,3. No,19. Ped,1. On Roadway,Yes,No,Belted,No,No,No,No,No,Yes,No,No,Yes,No,,NOT_RD,Not Intersection,No,No,Yes,Yes,9. Northern Virginia,76,076. Prince William County,"7-Local (J,6)",3-Two-Way Undivided,Urban,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC01521EB,0.06,,,-77.454240912,38.7875103640001,Severe Injury,Pedestrian-related,Pedestrian-related
1214,161025088,2016,4/7/2016 4:00:00 AM,1235,B,0,0,1,0,1,0,0,3,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,1. Main-Line Roadway,1. Straight - Level,1. Concrete,1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,Yes,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"4-Minor Arterial (H,3)",4-Two-Way Divided,Urban,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC02000WB,3.64,719662.0,104.83,-77.299559415,38.6397358040001,Visible Injury,All Other,All Other
1285,160425103,2016,2/3/2016 5:00:00 AM,2114,K,1,0,0,1,1,0,0,2,2. Angle,3. Fog,4. Darkness - Road Lighted,2. Wet,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",4. Four Approaches,4. Stop Sign,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,Yes,No,Unbelted,No,No,No,No,No,No,No,No,No,Yes,7.0,NOT_RD,VDOT Intersection,Yes,Yes,Yes,Yes,9. Northern Virginia,76,076. Prince William County,"3-Principal Arterial - Other (E,2)",4-Two-Way Divided,Urban,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   SR00234SB,12.54,549468.0,64.93,-77.442796459,38.6960684910001,Fatal Injury,All Other,All Other
1380,162735078,2016,9/27/2016 4:00:00 AM,1900,B,0,0,1,1,2,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,6. Intersection at end of Ramp,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",2. Two Approaches,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,Yes,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,Yes,Yes,No,9. Northern Virginia,76,076. Prince William County,"4-Minor Arterial (H,3)",4-Two-Way Divided,Urban,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   SR00234SBBUS001,7.31,549496.0,200.31,-77.520577202,38.802902868,Visible Injury,All Other,All Other
1495,162085115,2016,7/24/2016 4:00:00 AM,1630,B,0,0,1,0,1,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",3. Three Approaches,4. Stop Sign,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,Yes,No,No,,NOT_RD,VDOT Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"5-Major Collector (I,4)",3-Two-Way Undivided,Rural,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   SR00234NB,31.6,546418.0,5.45,-77.587266191,38.8590276580001,Visible Injury,Motorcycle-related,Motorcycle-related
1602,161065051,2016,4/14/2016 4:00:00 AM,1550,B,0,0,1,0,1,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,10. Intersection Related - Within 150 Feet,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"3-Principal Arterial - Other (E,2)",4-Two-Way Divided,Urban,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   SR00294WB,1.46,735854.0,123.85,-77.4506475159999,38.732436616,Visible Injury,All Other,All Other
1739,162915101,2016,10/13/2016 4:00:00 AM,1950,B,0,0,1,0,1,0,0,2,2. Angle,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Unbelted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"5-Major Collector (I,4)",3-Two-Way Undivided,Urban,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC01781SB,0.68,546288.0,415.62,-77.291887362,38.6377734760001,Visible Injury,All Other,All Other
1908,163235110,2016,11/17/2016 5:00:00 AM,1630,B,0,0,1,0,1,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,8. Non-Intersection,1. Straight - Level,"4. Slag, Gravel, Stone",5. Loose Material,"1. Two-Way, Not Divided",1. Not at Intersection,1. No Traffic Control,6. No Traffic Control Device Present,2. No,,,3. No,30. Overturn (Rollover),1. On Roadway,Yes,No,Belted,No,No,No,No,No,No,No,No,No,Yes,10.0,RD_UNKNOWN,Not Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"7-Local (J,6)",3-Two-Way Undivided,Rural,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC00708NB,1.1,,,-77.6095999309999,38.7257230430001,Visible Injury,All Other,All Other
2026,161175047,2016,4/24/2016 4:00:00 AM,250,B,0,0,1,0,1,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,10. Intersection Related - Within 150 Feet,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"2. Two-Way, Divided, Unprotected Median",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,2-Principal Arterial - Other Freeways and Expressways (B),4-Two-Way Divided,Urban,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   SR00234NB,14.52,746111.0,182.84,-77.465019571,38.7147782540001,Visible Injury,All Other,All Other
2205,160425217,2016,2/10/2016 5:00:00 AM,1341,C,0,0,0,2,2,0,0,2,4. Sideswipe - Same Direction,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,1. Main-Line Roadway,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"4. One-Way, Not Divided",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,Yes,No,No,No,,NOT_RD,Urban Intersection,Yes,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"3-Principal Arterial - Other (E,2)",1-One-Way Undivided,Urban,NonVDOT primary,7,3. City or Town Hwy Agency,Northern Virginia,NOVA,R-VA   SR00028PA001,0.1,549345.0,193.49,-77.4778654799999,38.751081244,Nonvisible Injury,All Other,All Other
2211,162005252,2016,7/18/2016 4:00:00 AM,147,B,0,0,2,0,2,0,0,1,9. Fixed Object - Off Road,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,1. Dry,8. Non-Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,5. Guard Rail,2. Shoulder,No,No,Belted,No,No,No,No,Yes,No,No,No,No,No,,RD_RIGHT,Not Intersection,No,No,Yes,Yes,9. Northern Virginia,76,076. Prince William County,"1-Interstate (A,1)",4-Two-Way Divided,Urban,VDOT Interstate,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   IS00066WB,43.72,,,-77.589178319,38.798694551,Visible Injury,All Other,All Other
2272,160645061,2016,3/2/2016 5:00:00 AM,1450,B,0,0,1,0,1,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,10. Intersection Related - Within 150 Feet,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"3-Principal Arterial - Other (E,2)",4-Two-Way Divided,Urban,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   US00001NB,171.79,1094276.0,88.04,-77.291307924,38.6085829140001,Visible Injury,All Other,All Other
2371,163445080,2016,12/8/2016 5:00:00 AM,44,B,0,0,1,0,1,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",4. Four Approaches,3. Traffic Signal,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,Yes,No,No,No,No,No,No,No,No,,NOT_RD,VDOT Intersection,No,No,Yes,Yes,9. Northern Virginia,76,076. Prince William County,"3-Principal Arterial - Other (E,2)",4-Two-Way Divided,Urban,VDOT Primary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   US00001SB,172.82,729885.0,173.95,-77.282496306,38.62138873,Visible Injury,All Other,All Other
2373,162635326,2016,9/3/2016 4:00:00 AM,2137,B,0,0,2,1,3,0,0,3,3. Head On,1. No Adverse Condition (Clear/Cloudy),4. Darkness - Road Lighted,1. Dry,1. Main-Line Roadway,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"1. Two-Way, Not Divided",1. Not at Intersection,1. No Traffic Control,6. No Traffic Control Device Present,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,Yes,10.0,NOT_RD,VDOT Intersection,No,No,Yes,Yes,9. Northern Virginia,76,076. Prince William County,"5-Major Collector (I,4)",3-Two-Way Undivided,Urban,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC00618WB,0.05,546087.0,168.41,-77.458397286,38.7783635160001,Visible Injury,All Other,All Other
2412,163125385,2016,10/29/2016 4:00:00 AM,1450,B,0,0,1,0,1,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,2. Acceleration/Deceleration Lanes,3. Grade - Straight,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",1. Not at Intersection,17. Highway Safety Corridor,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,No,,NOT_RD,Not Intersection,No,No,Yes,No,9. Northern Virginia,76,076. Prince William County,"1-Interstate (A,1)",4-Two-Way Divided,Urban,VDOT Interstate,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA   IS00095NB,159.2,,,-77.277824771,38.6591795260001,Visible Injury,All Other,All Other
2472,161615059,2016,6/1/2016 4:00:00 AM,1800,A,0,1,0,0,1,0,0,2,1. Rear End,1. No Adverse Condition (Clear/Cloudy),2. Daylight,1. Dry,9. Within Intersection,1. Straight - Level,"2. Blacktop, Asphalt, Bituminous",1. No Defects,"3. Two-Way, Divided, Positive Median Barrier",4. Four Approaches,6. Traffic Lanes Marked,1. Yes - Working,2. No,,,3. No,20. Motor Vehicle In Transport,1. On Roadway,No,No,Belted,No,No,No,No,No,No,No,No,No,Yes,1.0,NOT_RD,VDOT Intersection,No,Yes,Yes,No,9. Northern Virginia,76,076. Prince William County,"4-Minor Arterial (H,3)",4-Two-Way Divided,Urban,VDOT Secondary,7,1. State Hwy Agency,Northern Virginia,NOVA,R-VA076SC00641WB,3.56,546274.0,96.48,-77.278339127,38.677772567,Severe Injury,All Other,All Other
