Total:,Hispanic or Latino,Not Hispanic or Latino:,Population of one race:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Prop_Hisp,Prop_White,Prop_Black,Prop_American_Native,Prop_Asian,Prop_Hawaiian,Prop_Onemorerace
3427,397,3030,2822,2363,225,5,226,0,0.11584476218266705,0.6895243653341114,0.06565509191712868,0.0014590020426028597,0.06594689232564925,0.0,0.06069448497227896
4138,1412,2726,2488,1137,926,9,372,4,0.3412276462058966,0.2747704204929918,0.2237796036732721,0.0021749637506041568,0.08989850169163847,0.0009666505558240696,0.05751570807153214
4270,1981,2289,2084,695,879,3,470,6,0.4639344262295082,0.16276346604215455,0.20585480093676814,0.000702576112412178,0.11007025761124122,0.001405152224824356,0.04800936768149883
4546,704,3842,3592,2337,607,10,613,0,0.1548614166300044,0.5140783106027277,0.13352397712274527,0.002199736031676199,0.134843818741751,0.0,0.05499340079190497
4884,569,4315,3930,2369,652,6,877,1,0.11650286650286651,0.48505323505323505,0.1334971334971335,0.0012285012285012285,0.17956592956592957,0.00020475020475020476,0.07882882882882883
6044,570,5474,5145,4570,188,12,341,5,0.0943084050297816,0.7561217736598279,0.031105228325612178,0.001985440105890139,0.05641958967571145,0.0008272667107875579,0.05443414956982131
4713,203,4510,4382,3687,251,7,419,0,0.043072353065987695,0.7823042647994908,0.053256948864841926,0.0014852535539995756,0.08890303416083174,0.0,0.027158922130277954
7669,674,6995,6515,4575,805,4,1096,0,0.08788629547529013,0.5965575694353892,0.10496805320119963,0.0005215803885773895,0.1429130264702047,0.0,0.06258964662928673
5536,763,4773,4388,2531,695,2,1116,5,0.13782514450867053,0.4571893063583815,0.12554190751445088,0.000361271676300578,0.20158959537572255,0.0009031791907514451,0.06954479768786127
2958,450,2508,2351,1645,296,2,383,2,0.15212981744421908,0.5561189993238674,0.10006761325219743,0.000676132521974307,0.1294793779580798,0.000676132521974307,0.053076402974983096
6034,804,5230,4847,2632,941,10,1220,4,0.13324494530991052,0.4361948955916473,0.15594961882664898,0.0016572754391779914,0.20218760357971494,0.0006629101756711965,0.06347364932051706
7056,587,6469,5999,5003,458,4,480,1,0.08319160997732426,0.7090419501133787,0.06490929705215419,0.0005668934240362812,0.06802721088435375,0.0001417233560090703,0.06660997732426303
6546,578,5968,5484,3902,571,6,960,7,0.08829819737244118,0.5960892147876565,0.08722884204094103,0.0009165902841429881,0.1466544454628781,0.0010693553315001528,0.07393828292086771
4691,294,4397,4191,3426,377,5,363,3,0.06267320400767427,0.7303346834363675,0.08036665956086123,0.0010658708164570454,0.07738222127478149,0.0006395224898742272,0.04391387763803027
4130,2250,1880,1781,1182,294,13,276,0,0.5447941888619855,0.28619854721549637,0.0711864406779661,0.0031476997578692495,0.06682808716707021,0.0,0.02397094430992736
8294,3511,4783,4396,2426,1080,11,831,1,0.4233180612490957,0.29250060284543045,0.13021461297323367,0.001326259946949602,0.10019291053773813,0.00012056908608632747,0.04666023631540873
4047,2661,1386,1297,954,155,0,172,0,0.6575240919199407,0.2357301704966642,0.038299975290338524,0.0,0.04250061774153694,0.0,0.021991598715097604
2762,1339,1423,1349,876,212,4,230,4,0.4847936278059377,0.3171614771904417,0.07675597393193338,0.001448225923244026,0.0832729905865315,0.001448225923244026,0.026792179580014484
6821,3877,2944,2704,1198,779,13,667,4,0.5683917314176807,0.17563407125054978,0.11420612813370473,0.0019058789033866003,0.09778624835068171,0.0005864242779651077,0.035185456677906464
8748,3792,4956,4631,2149,957,12,1402,3,0.4334705075445816,0.24565614997713764,0.10939643347050755,0.0013717421124828531,0.16026520347508003,0.0003429355281207133,0.03715134887974394
2,1,1,1,1,0,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
