censustract,pop_total_2024,uninsured_n_total_2024,uninsured_pct_total_2024,pop_male_2024,uninsured_n_male_2024,uninsured_pct_male_2024,pop_female_2024,uninsured_n_female_2024,uninsured_pct_female_2024,pop_total_2023,uninsured_n_total_2023,uninsured_pct_total_2023,pop_male_2023,uninsured_n_male_2023,uninsured_pct_male_2023,pop_female_2023,uninsured_n_female_2023,uninsured_pct_female_2023,pop_total_2022,uninsured_n_total_2022,uninsured_pct_total_2022,pop_male_2022,uninsured_n_male_2022,uninsured_pct_male_2022,pop_female_2022,uninsured_n_female_2022,uninsured_pct_female_2022,pop_total_2021,uninsured_n_total_2021,uninsured_pct_total_2021,pop_male_2021,uninsured_n_male_2021,uninsured_pct_male_2021,pop_female_2021,uninsured_n_female_2021,uninsured_pct_female_2021,pop_total_2020,uninsured_n_total_2020,uninsured_pct_total_2020,pop_male_2020,uninsured_n_male_2020,uninsured_pct_male_2020,pop_female_2020,uninsured_n_female_2020,uninsured_pct_female_2020
9012.09,6503.0,458.0,7.0,2996.0,342.0,11.4,3507.0,116.0,3.3,6548.0,564.0,8.6,3138.0,405.0,12.9,3410.0,159.0,4.7,6475.0,547.0,8.4,3039.0,375.0,12.3,3436.0,172.0,5.0,6715.0,634.0,9.4,3200.0,368.0,11.5,3515.0,266.0,7.6,7185.0,681.0,9.5,3248.0,414.0,12.7,3937.0,267.0,6.8
9012.11,4512.0,596.0,13.2,2098.0,413.0,19.7,2414.0,183.0,7.6,4757.0,797.0,16.8,2309.0,508.0,22.0,2448.0,289.0,11.8,4792.0,1045.0,21.8,2467.0,664.0,26.9,2325.0,381.0,16.4,4754.0,1054.0,22.2,2403.0,590.0,24.6,2351.0,464.0,19.7,4520.0,850.0,18.8,2225.0,427.0,19.2,2295.0,423.0,18.4
9012.12,6533.0,680.0,10.4,3484.0,265.0,7.6,3049.0,415.0,13.6,7225.0,767.0,10.6,3625.0,308.0,8.5,3600.0,459.0,12.8,7534.0,917.0,12.2,3926.0,430.0,11.0,3608.0,487.0,13.5,7804.0,1103.0,14.1,3977.0,559.0,14.1,3827.0,544.0,14.2,8334.0,1261.0,15.1,4320.0,724.0,16.8,4014.0,537.0,13.4
9012.19,5297.0,59.0,1.1,2500.0,12.0,0.5,2797.0,47.0,1.7,5332.0,82.0,1.5,2541.0,55.0,2.2,2791.0,27.0,1.0,5441.0,144.0,2.6,2612.0,117.0,4.5,2829.0,27.0,1.0,5285.0,129.0,2.4,2521.0,103.0,4.1,2764.0,26.0,0.9,5423.0,167.0,3.1,2614.0,130.0,5.0,2809.0,37.0,1.3
9012.21,6728.0,479.0,7.1,3056.0,219.0,7.2,3672.0,260.0,7.1,6327.0,356.0,5.6,2738.0,181.0,6.6,3589.0,175.0,4.9,6322.0,453.0,7.2,2825.0,227.0,8.0,3497.0,226.0,6.5,6132.0,409.0,6.7,2608.0,252.0,9.7,3524.0,157.0,4.5,5714.0,400.0,7.0,2351.0,226.0,9.6,3363.0,174.0,5.2
9012.22,2540.0,127.0,5.0,1258.0,87.0,6.9,1282.0,40.0,3.1,2528.0,183.0,7.2,1309.0,129.0,9.9,1219.0,54.0,4.4,2604.0,230.0,8.8,1278.0,153.0,12.0,1326.0,77.0,5.8,2560.0,249.0,9.7,1235.0,169.0,13.7,1325.0,80.0,6.0,2647.0,256.0,9.7,1330.0,166.0,12.5,1317.0,90.0,6.8
9012.23,6234.0,687.0,11.0,2898.0,307.0,10.6,3336.0,380.0,11.4,6217.0,727.0,11.7,3029.0,216.0,7.1,3188.0,511.0,16.0,6155.0,629.0,10.2,2840.0,195.0,6.9,3315.0,434.0,13.1,6154.0,240.0,3.9,2834.0,74.0,2.6,3320.0,166.0,5.0,6265.0,210.0,3.4,2947.0,78.0,2.6,3318.0,132.0,4.0
9012.24,4386.0,427.0,9.7,2130.0,130.0,6.1,2256.0,297.0,13.2,4305.0,415.0,9.6,2066.0,121.0,5.9,2239.0,294.0,13.1,4220.0,279.0,6.6,2038.0,60.0,2.9,2182.0,219.0,10.0,4325.0,301.0,7.0,2069.0,120.0,5.8,2256.0,181.0,8.0,4756.0,479.0,10.1,2371.0,203.0,8.6,2385.0,276.0,11.6
9012.25,4731.0,213.0,4.5,2387.0,118.0,4.9,2344.0,95.0,4.1,4945.0,294.0,5.9,2508.0,167.0,6.7,2437.0,127.0,5.2,4952.0,386.0,7.8,2711.0,276.0,10.2,2241.0,110.0,4.9,5088.0,362.0,7.1,2756.0,223.0,8.1,2332.0,139.0,6.0,5195.0,488.0,9.4,2784.0,337.0,12.1,2411.0,151.0,6.3
9012.26,6229.0,349.0,5.6,3145.0,172.0,5.5,3084.0,177.0,5.7,6348.0,474.0,7.5,3224.0,278.0,8.6,3124.0,196.0,6.3,6354.0,416.0,6.5,3246.0,237.0,7.3,3108.0,179.0,5.8,6505.0,531.0,8.2,3410.0,301.0,8.8,3095.0,230.0,7.4,6304.0,476.0,7.6,3370.0,259.0,7.7,2934.0,217.0,7.4
9012.27,5679.0,857.0,15.1,3086.0,491.0,15.9,2593.0,366.0,14.1,6181.0,699.0,11.3,3199.0,391.0,12.2,2982.0,308.0,10.3,6079.0,705.0,11.6,3112.0,394.0,12.7,2967.0,311.0,10.5,5825.0,763.0,13.1,3072.0,447.0,14.6,2753.0,316.0,11.5,5063.0,802.0,15.8,2571.0,445.0,17.3,2492.0,357.0,14.3
