censustract,pop_total_2024,uninsured_n_total_2024,uninsured_pct_total_2024,pop_male_2024,uninsured_n_male_2024,uninsured_pct_male_2024,pop_female_2024,uninsured_n_female_2024,uninsured_pct_female_2024,pop_total_2023,uninsured_n_total_2023,uninsured_pct_total_2023,pop_male_2023,uninsured_n_male_2023,uninsured_pct_male_2023,pop_female_2023,uninsured_n_female_2023,uninsured_pct_female_2023,pop_total_2022,uninsured_n_total_2022,uninsured_pct_total_2022,pop_male_2022,uninsured_n_male_2022,uninsured_pct_male_2022,pop_female_2022,uninsured_n_female_2022,uninsured_pct_female_2022,pop_total_2021,uninsured_n_total_2021,uninsured_pct_total_2021,pop_male_2021,uninsured_n_male_2021,uninsured_pct_male_2021,pop_female_2021,uninsured_n_female_2021,uninsured_pct_female_2021,pop_total_2020,uninsured_n_total_2020,uninsured_pct_total_2020,pop_male_2020,uninsured_n_male_2020,uninsured_pct_male_2020,pop_female_2020,uninsured_n_female_2020,uninsured_pct_female_2020
9014.20,3923.0,139.0,3.5,1975.0,64.0,3.2,1948.0,75.0,3.9,4184.0,211.0,5.0,2170.0,110.0,5.1,2014.0,101.0,5.0,4328.0,194.0,4.5,2287.0,115.0,5.0,2041.0,79.0,3.9,4273.0,174.0,4.1,2449.0,98.0,4.0,1824.0,76.0,4.2,4482.0,142.0,3.2,2388.0,59.0,2.5,2094.0,83.0,4.0
9014.21,5490.0,108.0,2.0,2757.0,62.0,2.2,2733.0,46.0,1.7,5323.0,109.0,2.0,2643.0,58.0,2.2,2680.0,51.0,1.9,5400.0,147.0,2.7,2877.0,65.0,2.3,2523.0,82.0,3.3,5234.0,176.0,3.4,2733.0,110.0,4.0,2501.0,66.0,2.6,4720.0,137.0,2.9,2427.0,121.0,5.0,2293.0,16.0,0.7
9015.03,5675.0,221.0,3.9,3084.0,194.0,6.3,2591.0,27.0,1.0,5509.0,236.0,4.3,2896.0,190.0,6.6,2613.0,46.0,1.8,5327.0,289.0,5.4,2757.0,202.0,7.3,2570.0,87.0,3.4,5327.0,246.0,4.6,2659.0,167.0,6.3,2668.0,79.0,3.0,5295.0,341.0,6.4,2448.0,125.0,5.1,2847.0,216.0,7.6
9015.04,4709.0,41.0,0.9,2052.0,0.0,0.0,2657.0,41.0,1.5,4741.0,82.0,1.7,2118.0,0.0,0.0,2623.0,82.0,3.1,4615.0,51.0,1.1,2092.0,20.0,1.0,2523.0,31.0,1.2,4368.0,30.0,0.7,2056.0,21.0,1.0,2312.0,9.0,0.4,4321.0,38.0,0.9,2021.0,23.0,1.1,2300.0,15.0,0.7
9015.05,7529.0,156.0,2.1,3730.0,69.0,1.8,3799.0,87.0,2.3,7166.0,223.0,3.1,3550.0,92.0,2.6,3616.0,131.0,3.6,7220.0,661.0,9.2,3663.0,335.0,9.1,3557.0,326.0,9.2,7538.0,777.0,10.3,3769.0,381.0,10.1,3769.0,396.0,10.5,7284.0,698.0,9.6,3587.0,308.0,8.6,3697.0,390.0,10.5
9015.06,6590.0,753.0,11.4,3475.0,507.0,14.6,3115.0,246.0,7.9,6803.0,904.0,13.3,3661.0,643.0,17.6,3142.0,261.0,8.3,6995.0,891.0,12.7,3683.0,628.0,17.1,3312.0,263.0,7.9,7053.0,977.0,13.9,3891.0,678.0,17.4,3162.0,299.0,9.5,7066.0,897.0,12.7,3757.0,587.0,15.6,3309.0,310.0,9.4
9015.07,2972.0,165.0,5.6,1563.0,100.0,6.4,1409.0,65.0,4.6,2948.0,152.0,5.2,1594.0,91.0,5.7,1354.0,61.0,4.5,2868.0,146.0,5.1,1569.0,92.0,5.9,1299.0,54.0,4.2,2789.0,74.0,2.7,1471.0,46.0,3.1,1318.0,28.0,2.1,2788.0,105.0,3.8,1402.0,52.0,3.7,1386.0,53.0,3.8
9015.08,6261.0,337.0,5.4,3225.0,113.0,3.5,3036.0,224.0,7.4,6035.0,361.0,6.0,3094.0,126.0,4.1,2941.0,235.0,8.0,5770.0,410.0,7.1,3006.0,185.0,6.2,2764.0,225.0,8.1,5898.0,503.0,8.5,2896.0,226.0,7.8,3002.0,277.0,9.2,5847.0,579.0,9.9,2913.0,293.0,10.1,2934.0,286.0,9.7
9015.09,8052.0,1110.0,13.8,4386.0,593.0,13.5,3666.0,517.0,14.1,7913.0,1130.0,14.3,4269.0,600.0,14.1,3644.0,530.0,14.5,7726.0,1100.0,14.2,4288.0,578.0,13.5,3438.0,522.0,15.2,7478.0,985.0,13.2,3986.0,486.0,12.2,3492.0,499.0,14.3,6899.0,935.0,13.6,3461.0,451.0,13.0,3438.0,484.0,14.1
9015.10,6023.0,129.0,2.1,3022.0,16.0,0.5,3001.0,113.0,3.8,6325.0,133.0,2.1,3077.0,37.0,1.2,3248.0,96.0,3.0,6418.0,131.0,2.0,3119.0,45.0,1.4,3299.0,86.0,2.6,6317.0,216.0,3.4,3137.0,109.0,3.5,3180.0,107.0,3.4,5931.0,210.0,3.5,2842.0,125.0,4.4,3089.0,85.0,2.8
9015.11,4435.0,54.0,1.2,2028.0,18.0,0.9,2407.0,36.0,1.5,4498.0,55.0,1.2,2114.0,31.0,1.5,2384.0,24.0,1.0,4364.0,81.0,1.9,2046.0,42.0,2.1,2318.0,39.0,1.7,4204.0,102.0,2.4,2021.0,57.0,2.8,2183.0,45.0,2.1,3962.0,47.0,1.2,1931.0,26.0,1.3,2031.0,21.0,1.0
9016.01,4289.0,724.0,16.9,1903.0,279.0,14.7,2386.0,445.0,18.7,3596.0,947.0,26.3,1580.0,334.0,21.1,2016.0,613.0,30.4,4646.0,1105.0,23.8,2114.0,476.0,22.5,2532.0,629.0,24.8,4124.0,920.0,22.3,2084.0,413.0,19.8,2040.0,507.0,24.9,3961.0,961.0,24.3,1925.0,382.0,19.8,2036.0,579.0,28.4
9016.02,7650.0,1209.0,15.8,4276.0,536.0,12.5,3374.0,673.0,19.9,7912.0,1112.0,14.1,4211.0,519.0,12.3,3701.0,593.0,16.0,8377.0,1112.0,13.3,4345.0,619.0,14.2,4032.0,493.0,12.2,7986.0,934.0,11.7,3698.0,434.0,11.7,4288.0,500.0,11.7,8098.0,1037.0,12.8,3893.0,489.0,12.6,4205.0,548.0,13.0
9017.02,4813.0,1581.0,32.8,2545.0,961.0,37.8,2268.0,620.0,27.3,4796.0,1729.0,36.1,2596.0,1059.0,40.8,2200.0,670.0,30.5,4593.0,1486.0,32.4,2251.0,918.0,40.8,2342.0,568.0,24.3,4418.0,1560.0,35.3,2240.0,987.0,44.1,2178.0,573.0,26.3,4356.0,1500.0,34.4,2176.0,941.0,43.2,2180.0,559.0,25.6
9017.03,2750.0,878.0,31.9,1422.0,404.0,28.4,1328.0,474.0,35.7,2574.0,710.0,27.6,1317.0,308.0,23.4,1257.0,402.0,32.0,2418.0,492.0,20.3,1228.0,154.0,12.5,1190.0,338.0,28.4,2770.0,830.0,30.0,1307.0,195.0,14.9,1463.0,635.0,43.4,2518.0,568.0,22.6,1198.0,101.0,8.4,1320.0,467.0,35.4
9017.04,7252.0,2434.0,33.6,3966.0,1399.0,35.3,3286.0,1035.0,31.5,7114.0,2685.0,37.7,4269.0,1679.0,39.3,2845.0,1006.0,35.4,6581.0,2577.0,39.2,4018.0,1601.0,39.8,2563.0,976.0,38.1,7151.0,2584.0,36.1,4229.0,1642.0,38.8,2922.0,942.0,32.2,6971.0,2283.0,32.7,4044.0,1403.0,34.7,2927.0,880.0,30.1
9019,7172.0,1183.0,16.5,4419.0,759.0,17.2,2753.0,424.0,15.4,8107.0,1423.0,17.6,4407.0,763.0,17.3,3700.0,660.0,17.8,7696.0,2010.0,26.1,4019.0,935.0,23.3,3677.0,1075.0,29.2,7139.0,1786.0,25.0,3728.0,1011.0,27.1,3411.0,775.0,22.7,6689.0,1781.0,26.6,3576.0,1041.0,29.1,3113.0,740.0,23.8
9801,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
