,censustract,total_2024,male_over_64_2024,female_over_64_2024,total_2023,male_over_64_2023,female_over_64_2023,total_2022,male_over_64_2022,female_over_64_2022,total_2021,male_over_64_2021,female_over_64_2021,total_2020,male_over_64_2020,female_over_64_2020,Over64_Proportion_2024,Over64_Proportion_2023,Over64_Proportion_2022,Over64_Proportion_2021,Over64_Proportion_2020
48,9012.27,5679,410,328,6181,297,232,6079,222,282,5825,174,288,5063,171,267,13.0,8.56,8.29,7.93,8.65
49,9012.28,6141,400,388,6474,324,370,6578,336,334,6346,352,260,5818,289,289,12.83,10.72,10.19,9.64,9.93
50,9012.29,4500,194,218,4706,193,184,4766,197,229,4894,202,211,4848,246,247,9.16,8.01,8.94,8.44,10.17
51,9012.30,4159,218,304,4025,203,236,4116,186,179,4032,199,195,4009,210,220,12.55,10.91,8.87,9.77,10.73
52,9012.31,7405,427,549,6580,464,617,6456,450,635,6048,423,529,6057,406,554,13.18,16.43,16.81,15.74,15.85
53,9012.32,6564,399,318,6293,345,305,6141,338,335,5969,303,284,5555,246,328,10.92,10.33,10.96,9.83,10.33
54,9012.33,7514,411,418,7242,370,388,6851,395,398,6851,356,336,6555,398,296,11.03,10.47,11.57,10.1,10.59
55,9012.34,3576,196,260,3193,209,227,2986,215,237,3046,193,250,2948,173,237,12.75,13.65,15.14,14.54,13.91
56,9012.35,2932,185,171,2875,141,172,3004,153,137,3033,180,139,2983,164,138,12.14,10.89,9.65,10.52,10.12
57,9012.36,6711,284,389,6762,295,343,6419,250,338,6453,286,248,6054,268,184,10.03,9.44,9.16,8.28,7.47
58,9012.37,3138,63,106,3079,37,50,2982,53,88,3165,44,81,2933,52,57,5.39,2.83,4.73,3.95,3.72
59,9013.03,5264,213,186,5242,168,147,5165,162,139,4933,135,145,4682,136,156,7.58,6.01,5.83,5.68,6.24
60,9013.04,3172,260,180,3181,251,185,3235,262,190,3121,231,169,2987,183,156,13.87,13.71,13.97,12.82,11.35
61,9013.05,4670,218,375,3944,189,308,4070,175,288,3680,178,213,3581,169,196,12.7,12.6,11.38,10.62,10.19
62,9013.06,5417,457,667,5068,443,584,5259,472,583,5266,434,550,4903,422,508,20.75,20.26,20.06,18.69,18.97
63,9014.03,7455,365,232,7489,430,358,7258,364,404,7684,310,411,6933,185,409,8.01,10.52,10.58,9.38,8.57
64,9014.07,4160,161,135,4207,138,120,4385,144,44,4220,181,44,4276,143,64,7.12,6.13,4.29,5.33,4.84
65,9014.09,9064,150,342,9185,179,393,9046,157,371,8770,209,421,8290,172,320,5.43,6.23,5.84,7.18,5.93
66,9014.11,6049,457,479,5901,471,418,6030,448,402,6137,452,379,5948,344,395,15.47,15.07,14.1,13.54,12.42
67,9014.12,6825,180,155,7645,166,184,7753,160,149,7671,128,105,7444,102,90,4.91,4.58,3.99,3.04,2.58
68,9014.13,4625,121,74,4321,98,121,4425,69,167,4254,64,144,4218,39,139,4.22,5.07,5.33,4.89,4.22
69,9014.14,5400,489,579,5453,384,538,5466,379,541,5242,409,493,5183,449,422,19.78,16.91,16.83,17.21,16.8
70,9014.15,4689,225,149,4498,237,102,4403,228,102,4526,191,107,4433,181,108,7.98,7.54,7.49,6.58,6.52
71,9014.16,5248,101,136,5129,108,91,5143,84,95,4982,112,66,5086,68,51,4.52,3.88,3.48,3.57,2.34
72,9014.17,3134,183,206,3054,210,201,2914,223,194,2666,208,186,2535,179,166,12.41,13.46,14.31,14.78,13.61
73,9014.18,5331,40,236,4338,72,359,4256,74,262,3885,79,280,4060,39,167,5.18,9.94,7.89,9.24,5.07
74,9014.19,3985,125,120,3801,104,90,3837,112,78,4076,80,67,4257,152,167,6.15,5.1,4.95,3.61,7.49
